Atoll,island,atoll_official,indicator_full,value,sex_modifier,population_modifier,indicator,indicator2,value2,index
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Dependency Ratio,61.826182618261825,NA,Resident Maldivians, 2022 Child Dependency Ratio, 2022 Child Dependency Ratio,61.826182618261825,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Aged-Dependency Ratio,10.121012101210122,NA,Resident Maldivians, 2022 Aged-Dependency Ratio, 2022 Aged-Dependency Ratio,10.121012101210122,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (0-17 yrs) Both sexes,1260,Both sexes,Resident Maldivians, 2022 Child Population (0-17 yrs) Both sexes, 2022 Child Population (0-17 yrs) Both sexes,1260,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (International) (0-14 yrs) Both sexes,1124,Both sexes,Resident Maldivians, 2022 Child Population (International) (0-14 yrs) Both sexes, 2022 Child Population (International) (0-14 yrs) Both sexes,1124,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Adolescent Population (International) (10-19 yrs) Both sexes,595,Both sexes,Resident Maldivians, 2022 Adolescent Population (International) (10-19 yrs) Both sexes, 2022 Adolescent Population (International) (10-19 yrs) Both sexes,595,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Working Age Population (15-64 yrs) Both sexes,1818,Both sexes,Resident Maldivians, 2022 Working Age Population (15-64 yrs) Both sexes, 2022 Working Age Population (15-64 yrs) Both sexes,1818,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Youth Population (International) (15-24 yrs) Both sexes,284,Both sexes,Resident Maldivians, 2022 Youth Population (International) (15-24 yrs) Both sexes, 2022 Youth Population (International) (15-24 yrs) Both sexes,284,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Youth Population (National) (18-35 yrs) Both sexes,746,Both sexes,Resident Maldivians, 2022 Youth Population (National) (18-35 yrs) Both sexes, 2022 Youth Population (National) (18-35 yrs) Both sexes,746,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Elderly Population  (65+ yrs) Both sexes,184,Both sexes,Resident Maldivians, 2022 Elderly Population  (65+ yrs) Both sexes, 2022 Elderly Population  (65+ yrs) Both sexes,184,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population (%) Child Population (0-17 yrs),40.30710172744721,NA,Resident Maldivians, (%) Child Population (0-17 yrs), (%) Child Population (0-17 yrs),40.30710172744721,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population (%) Child Population (International) (0-14 yrs),35.956493921944976,NA,Resident Maldivians, (%) Child Population (International) (0-14 yrs), (%) Child Population (International) (0-14 yrs),35.956493921944976,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population (%) Adolescent Population (International) (10-19 yrs),19.033909149072297,NA,Resident Maldivians, (%) Adolescent Population (International) (10-19 yrs), (%) Adolescent Population (International) (10-19 yrs),19.033909149072297,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population (%) Working Age Population (15-64 yrs),58.157389635316704,NA,Resident Maldivians, (%) Working Age Population (15-64 yrs), (%) Working Age Population (15-64 yrs),58.157389635316704,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population (%) Youth Population (International) (15-24 yrs),9.0850927703135,NA,Resident Maldivians, (%) Youth Population (International) (15-24 yrs), (%) Youth Population (International) (15-24 yrs),9.0850927703135,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population (%) Youth Population (National) (18-35 yrs),23.86436340371081,NA,Resident Maldivians, (%) Youth Population (National) (18-35 yrs), (%) Youth Population (National) (18-35 yrs),23.86436340371081,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population (%) Elderly Population  (65+ yrs),5.886116442738324,NA,Resident Maldivians, (%) Elderly Population  (65+ yrs), (%) Elderly Population  (65+ yrs),5.886116442738324,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Area (in hectare),96.542888,NA,NA,Area (in hectare),Area (in hectare),96.542888,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Area (in sq km),0.96542888,NA,NA,Area (in sq km),Area (in sq km),0.96542888,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Population density Resident Maldivian Population,3237.9391840857297,NA,Resident Maldivians,Population density ,Population density ,3237.9391840857297,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Median Age Resident Maldivians,29,NA,Resident Maldivians,Median Age Resident Maldivians,Median Age Resident Maldivians,29,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Filladhoo,Haa Alif Atoll,Resident Maldivians Population Both sexes,529,Both sexes,Resident Maldivians,Resident Maldivians Population Both sexes,Resident Maldivians Population Both sexes,529,"Filladhoo, Thiladhunmathee Uthuruburi"
