Timestamp,max_temp_degC,min_temp_degC,mean_temp_degC,mean_humidity_percent,mean_wind_direction_compass,mean_wind_speed_kts,max_wind_direction_compass,max_wind_speed_kts,rainfall_mm
4/28/1991,33.2,25.9,,,,,,,0.1
4/29/1991,34,25.8,,,,,,,31
4/30/1991,32.6,26.4,,,,,,,0
5/1/1991,33.8,26.6,,,,,,,0
5/2/1991,33.2,27.2,,,,,,,0
5/3/1991,34,27.6,,,,,,,0
5/4/1991,34.2,27.4,,,,,,,0
5/5/1991,34,27.5,,,,,,,0
5/6/1991,33.6,25.8,,,,,,,0
5/7/1991,34.4,25.4,,,,,,,0
5/8/1991,34.8,25.4,,,,,,,0
5/9/1991,34,24.5,,,,,,,0
5/10/1991,33.8,27.5,,,,,,,0
5/11/1991,35.4,26.6,,,,,,,0
5/12/1991,33.8,26.4,,,,,,,0.1
5/13/1991,31.8,25.4,,,,,,,0
5/14/1991,32.5,24.8,,,,,,,1
5/15/1991,30.8,23.8,,,,,,,12.4
5/16/1991,28.8,24.2,,,,,,,13.1
5/17/1991,32,26.9,,,,,,,0
5/18/1991,34,26.4,,,,,,,0
5/19/1991,33.8,25.4,,,,,,,1
5/20/1991,34,26.8,,,,,,,0
5/21/1991,33.7,26,,,,,,,0.1
5/22/1991,32.2,25.8,,,,,,,10.2
5/23/1991,30,24,,,,,,,28.6
5/24/1991,30,25.2,,,,,,,0
5/25/1991,32.5,25.7,,,,,,,2.5
5/26/1991,31.4,26,,,,,,,0.9
5/27/1991,30.8,24.8,,,,,,,18.2
5/28/1991,28.5,23.5,,,,,,,36
5/29/1991,28.4,24.8,,,,,,,39.8
5/30/1991,30.4,23,,,,,,,23.9
5/31/1991,29.9,22.8,,,,,,,57
6/1/1991,29,23.5,,,,,,,31.2
6/2/1991,31.2,26.5,,,,,,,1
6/3/1991,31.8,26.4,,,,,,,4.4
6/4/1991,32,26,,,,,,,4.6
6/5/1991,33.6,26.8,,,,,,,0
6/6/1991,33.4,26.5,,,,,,,0
6/7/1991,33.4,26.4,,,,,,,0
6/8/1991,34,25.7,,,,,,,0
6/9/1991,33.9,25.8,,,,,,,0
6/10/1991,34,26,,,,,,,0
6/11/1991,34,25.8,,,,,,,0
6/12/1991,33.8,25.5,,,,,,,0
6/13/1991,32,26.2,,,,,,,0
6/14/1991,33.7,25.5,,,,,,,1
6/15/1991,33.2,26.2,,,,,,,0
6/16/1991,34,26,,,,,,,0
6/17/1991,31.8,25.6,,,,,,,0
6/18/1991,34,26,,,,,,,0
6/19/1991,33.8,25.7,,,,,,,0
6/20/1991,34,24.8,,,,,,,10
6/21/1991,33,24.5,,,,,,,0
6/22/1991,31.6,25.7,,,,,,,0
6/23/1991,31.9,26.4,,,,,,,0
6/24/1991,32.4,24,,,,,,,8.5
6/25/1991,31.2,24.5,,,,,,,0
6/26/1991,33.4,25.5,,,,,,,2
6/27/1991,32.4,24.3,,,,,,,0
6/28/1991,32.1,25.5,,,,,,,0
6/29/1991,31.5,24.2,,,,,,,0
6/30/1991,31,25.5,,,,,,,4
7/1/1991,34,24.1,29.5,80,CALM,0,WNW,6,0
7/2/1991,33.9,26.3,30.1,75,CALM,0,N,8,0
7/3/1991,34,25.8,30.7,75,WNW,7,WNW,8,0
7/4/1991,32.5,24.4,30.9,72,CALM,0,CALM,0,0
7/5/1991,34,23.1,30.1,76,CALM,0,CALM,0,0
7/6/1991,34,25.2,29.9,75,CALM,0,WSW,6,0
7/7/1991,33,24.5,30,74,CALM,0,SW,6,1
7/8/1991,31,24.1,29.5,75,CALM,0,S,8,0
7/9/1991,31.6,25,30,74,CALM,0,CALM,0,0
7/10/1991,32.5,26.5,29.8,77,CALM,0,CALM,0,0
7/11/1991,32.3,25.2,29.8,76,CALM,0,S,8,3
7/12/1991,30.8,24.1,29.2,77,CALM,0,CALM,0,4
7/13/1991,32,24.9,29.9,77,CALM,0,CALM,0,0
7/14/1991,32.8,25.4,30,75,CALM,0,CALM,0,0
7/15/1991,33,26.2,30.3,75,CALM,0,CALM,0,49
7/16/1991,31,24.6,29.2,78,CALM,0,CALM,0,2
7/17/1991,31.2,24.4,29.8,76,CALM,0,CALM,0,0
7/18/1991,33.1,24.1,29.9,75,CALM,0,CALM,0,4.4
7/19/1991,30.8,24.6,29,77,CALM,0,CALM,0,6
7/20/1991,31,23.5,28.9,79,NW,7,NW,12,4
7/21/1991,28.4,23.8,26,87,CALM,0,S,7,3
7/22/1991,31.5,24.4,30.4,71,SW,7,SW,7,0
7/23/1991,31.6,26.2,30.1,74,S,6,S,8,0
7/24/1991,32,26.3,29.9,75,S,7,S,10,0
7/25/1991,31.2,25.4,29.8,75,CALM,0,CALM,0,0
7/26/1991,31.6,25.6,30,75,CALM,0,S,13,9
7/27/1991,30.9,24.5,28.9,82,S,6,S,9,1
7/28/1991,30.8,24.6,29.6,75,S,7,S,10,23.4
7/29/1991,30,24.5,27.6,87,W,12,W,20,5
7/30/1991,29.8,23,27.7,85,SW,12,W,16,4
7/31/1991,30.6,24.1,29.4,75,VRB,3,WSW,8,0
8/1/1991,32.3,24.8,29.9,76,WNW,6,WNW,8,0
8/2/1991,32.5,25.4,29.9,75,NW,7,NW,13,0
8/3/1991,31.6,25.8,28.1,77,NW,6,NW,10,0
8/4/1991,32.3,25.3,29.9,77,NNW,6,NNW,8,0
8/5/1991,31.5,23.4,29.9,78,N,7,N,8,0
8/6/1991,31.8,24.6,29.6,76,CALM,0,ENE,7,0
8/7/1991,31.2,23.5,29.9,75,CALM,0,CALM,0,0
8/8/1991,32.6,23,30,75,CALM,0,CALM,0,0
8/9/1991,31.8,24.7,29.8,77,CALM,0,CALM,0,0
8/10/1991,32,25,29.8,76,CALM,0,CALM,0,0
8/11/1991,33,24.5,30.2,74,S,6,S,9,0
8/12/1991,32.5,25.8,29.7,76,S,6,S,10,0
