Country,Indicator_SubType,Sum of Value,Year
Malaysia,Disaster New Displacement,37983.00,2018
Cambodia,Disaster New Displacement,37177.00,2018
Sri Lanka,Conflict Stock Displacement,37064.00,2018
Papua New Guinea,Disaster New Displacement,30994.00,2019
Sri Lanka,Conflict Stock Displacement,27327.00,1900
Afghanistan,Disaster New Displacement,26849.00,2017
Indonesia,Conflict New Displacement,23396.00,2019
Lao PDR,Disaster New Displacement,19021.00,2018
India,Conflict New Displacement,19005.00,2019
Pakistan,Conflict New Displacement,16051.00,2019
Indonesia,Conflict Stock Displacement,15902.00,2018
Cambodia,Disaster New Displacement,15068.00,2017
Vanuatu,Disaster New Displacement,14259.00,2017
Papua New Guinea,Conflict Stock Displacement,14233.00,1900
Vanuatu,Disaster New Displacement,12972.00,2018
Indonesia,Conflict Stock Displacement,12905.00,2017
Papua New Guinea,Conflict Stock Displacement,12440.00,2018
Papua New Guinea,Conflict Stock Displacement,12423.00,2017
Fiji,Disaster New Displacement,12313.00,2018
Nepal,Disaster New Displacement,12296.00,2018
"Korea, Dem. People's Rep.",Disaster New Displacement,6362.00,2019
Bangladesh,Conflict New Displacement,6000.00,2017
Mongolia,Disaster New Displacement,5931.00,2018
Tonga,Disaster New Displacement,5700.00,2018
"Korea, ROK",Disaster New Displacement,5647.00,2019
Fiji,Disaster New Displacement,4999.00,2019
Thailand,Disaster New Displacement,4648.00,2018
Indonesia,Conflict New Displacement,4497.00,2018
"Korea, ROK",Disaster New Displacement,4333.00,2017
Hong Kong,Disaster New Displacement,3292.00,2017
Indonesia,Conflict New Displacement,2750.00,2017
Pakistan,Disaster New Displacement,2078.00,2018
Pakistan,Conflict New Displacement,1832.00,2018
Pakistan,Disaster New Displacement,1750.00,2017
Sri Lanka,Conflict New Displacement,1700.00,2019
Hong Kong,Disaster New Displacement,1400.00,2018
Papua New Guinea,Disaster New Displacement,1387.00,2017
Papua New Guinea,Conflict New Displacement,1279.00,2019
Sri Lanka,Conflict New Displacement,1138.00,2018
"Korea, ROK",Disaster New Displacement,1084.00,2018
Solomon Islands,Disaster New Displacement,1058.00,2018
Vanuatu,Disaster New Displacement,1000.00,2019
Solomon Islands,Disaster New Displacement,575.00,2017
Bangladesh,Conflict New Displacement,520.00,2019
Fiji,Disaster New Displacement,374.00,2017
Papua New Guinea,Conflict New Displacement,360.00,2018
Samoa,Disaster New Displacement,327.00,2018
Bangladesh,Conflict New Displacement,300.00,2018
Maldives,Disaster New Displacement,296.00,2019
Hong Kong,Disaster New Displacement,205.00,2019
Marshall Islands,Disaster New Displacement,200.00,2019
Lao PDR,Disaster New Displacement,188.00,2017
Maldives,Disaster New Displacement,76.00,2017
Solomon Islands,Disaster New Displacement,31.00,2019
Maldives,Disaster New Displacement,20.00,2018
Mongolia,Disaster New Displacement,13.00,2019
Nepal,Conflict New Displacement,2.00,2017
Nepal,Conflict Stock Displacement,2.00,2017
