atoll_local_names,atoll_official,indicator,value
Addu (S),Seenu Atoll,Elderly Population (65+ yrs),3660
Addu (S),Seenu Atoll,Median Age,652
Addu (S),Seenu Atoll,Population,51980
Addu (S),Seenu Atoll,Population density,17243.219728722306
Addu (S),Seenu Atoll,Sex Ratio (males per 100 female),646.7758857690019
Addu (S),Seenu Atoll,Working Age Population (15-64 yrs),27090
Addu (S),Seenu Atoll,Youth Population (National) (18-35 yrs),10267
Shaviyani (Sh),Shaviyani Atoll,Adolescent Population (International) (10-19 yrs),4834
Shaviyani (Sh),Shaviyani Atoll,Child Population (0-17 yrs),9748
Shaviyani (Sh),Shaviyani Atoll,Elderly Population (65+ yrs),1596
Shaviyani (Sh),Shaviyani Atoll,Median Age,1342
Shaviyani (Sh),Shaviyani Atoll,Population,28352
Shaviyani (Sh),Shaviyani Atoll,Population density,22828.41160892734
Shaviyani (Sh),Shaviyani Atoll,Sex Ratio (males per 100 female),1284.8283649394784
Shaviyani (Sh),Shaviyani Atoll,Working Age Population (15-64 yrs),15539
Shaviyani (Sh),Shaviyani Atoll,Youth Population (National) (18-35 yrs),6383
Thaa (Th),Thaa Atoll,Adolescent Population (International) (10-19 yrs),3302
Thaa (Th),Thaa Atoll,Child Population (0-17 yrs),6756
Thaa (Th),Thaa Atoll,Elderly Population (65+ yrs),1188
Thaa (Th),Thaa Atoll,Median Age,1300.5
Thaa (Th),Thaa Atoll,Population,20797
Thaa (Th),Thaa Atoll,Population density,23715.894628759135
Thaa (Th),Thaa Atoll,Sex Ratio (males per 100 female),1337.129348112362
Thaa (Th),Thaa Atoll,Working Age Population (15-64 yrs),11319
Thaa (Th),Thaa Atoll,Youth Population (National) (18-35 yrs),4292
Vaavu (V),Vaavu Atoll,Adolescent Population (International) (10-19 yrs),380
Vaavu (V),Vaavu Atoll,Child Population (0-17 yrs),898
Vaavu (V),Vaavu Atoll,Elderly Population (65+ yrs),221
Vaavu (V),Vaavu Atoll,Median Age,595.5
Vaavu (V),Vaavu Atoll,Population,4732
Vaavu (V),Vaavu Atoll,Population density,15966.974358830928
Vaavu (V),Vaavu Atoll,Sex Ratio (males per 100 female),874.8783318755112
Vaavu (V),Vaavu Atoll,Working Age Population (15-64 yrs),1986
Vaavu (V),Vaavu Atoll,Youth Population (National) (18-35 yrs),767
