dataset,indicator,atoll_official,island,value,atoll_official_name,adm1_pcode,local_names,adm2_pcode,indicator2,value2
Employment,NEET rate (15-24 years) (%),Baa Atoll,Fulhadhoo,6.976744186046512,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007011,NEET rate (15-24 years) (%),6.976744186046512
Employment,NEET rate (18-35 years) (%),Baa Atoll,Fulhadhoo,0.6993006993006993,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007011,NEET rate (18-35 years) (%),0.6993006993006993
Employment,Labour force participation rate (%),Baa Atoll,Goidhoo,68.51851851851852,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007013,Labour force participation rate (%),68.51851851851852
Employment,Employment-to-population ratio (%),Baa Atoll,Goidhoo,65.74074074074075,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007013,Employment-to-population ratio (%),65.74074074074075
Employment,Unemployment rate (%),Baa Atoll,Goidhoo,4.054054054054054,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007013,Unemployment rate (%),4.054054054054054
Employment,Combined rate of unemployment and potential labour force (%),Baa Atoll,Goidhoo,8.974358974358974,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007013,Combined rate of unemployment and potential labour force (%),8.974358974358974
Employment,Inactivity rate (%),Baa Atoll,Goidhoo,31.48148148148148,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007013,Inactivity rate (%),31.48148148148148
Employment,Youth unemployment rate (15-24 years) (%),Baa Atoll,Goidhoo,15,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007013,Youth unemployment rate (15-24 years) (%),15
Employment,Youth unemployment rate (18-35years) (%),Baa Atoll,Goidhoo,3.8461538461538463,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007013,Youth unemployment rate (18-35years) (%),3.8461538461538463
Employment,NEET rate (15-24 years) (%),Baa Atoll,Goidhoo,19.047619047619047,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007013,NEET rate (15-24 years) (%),19.047619047619047
Employment,NEET rate (18-35 years) (%),Baa Atoll,Goidhoo,2.604166666666667,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007013,NEET rate (18-35 years) (%),2.604166666666667
Employment,Labour force participation rate (%),Baa Atoll,Hithaadhoo,62.8,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007010,Labour force participation rate (%),62.8
Employment,Employment-to-population ratio (%),Baa Atoll,Hithaadhoo,59.599999999999994,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007010,Employment-to-population ratio (%),59.599999999999994
