data_id_yymmdd_iccs_sl,category,sub_category,no_of_incident,year,month,week,date,time,district,upazila,up,village_camp,specific_location_camp_block,type_of_location,longitude,latitude,cause,mechanism_used,type_of_weapon_used,nationality_of_perpetrator,victime_perpetrator_relation_vi_p,security_force_acted_on_for_seizure_detained,nationality_of_victim,children,death_bd_m,death_bd_f,death_ro_m,death_ro_f,death_unidentified,total_death,injury_bd_m,injury_bd_f,injury_ro_m,injury_ro_f,injury_unidentified,total_injured,detain_bd_m,detain_bd_f,detain_ro_m,detain_ro_f,detain_unidentified,total_detain,seize_yaba_piece,crystal_meth,seize_marijuana_kg,seize_alcohol_ltr_number_of_bottle_0_75_and_if_alcohol_can_number_can_300,opium_heroin,seize_phensidyl_btl,seize_firearm,seize_bullets,seize_illegal_goods,description,source_1,source_2,source_3,source_4,source_5,mode_of_transport,remarks,column1,column2
230216062,Drug,trade,1,2023,February,23.07,2023-02-17,NA,Cox's Bazar,Teknaf,Whykong,Katakhal,NA,Road,92.2018,21.108707,Illicit gain,NAp,NAp,NAp,NAp,BGB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500 foreign cigarate,"On 17 Feb, Border Guard Bangladesh (BGB) seized a large quantity of foreign cigarettes banned for import during a raid at Teknaf in Cox's Bazar.",Daily Inqilab (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230608061,Drug,trade,1,2023,June,23.23,2023-06-08,0.8020833333333334,Cox's Bazar,Teknaf,Whykong,Kanjorpara,NA,Road,92.198211,21.109513,Illicit gain,NAP,NAP,Bangladeshi,NAp,RAB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,50000,0,0,0,0,0,0,0,0,"On 08 June 2023 at 0815hrs, Rapid Action Battalion (RAB-15) conducted an operation and arrested two drug sellers along with 50, 000 pieces of Yaba pill at Hoikang Ward No. 5, Dakshin Kanjor Para of Teknaf Upazila in Cox’s Bazar.",Teknaf Today (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230808061,Drug,trade,1,2023,August,23.32,2023-08-08,NA,Cox's Bazar,Teknaf,Whykong,Tecchirpul,NA,Residence,92.204195,21.110187,Illicit gain,NAp,NAp,Bangladeshi,NAp,Police,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,37,0,0,0,0,0,Police arrested three drug dealers with 23 bottles foreign wine and 66 cans of beer in Whykong of Teknaf Upazila in Cox’s Bazar.,Coxbangla (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230123061,Drug,trade,1,2023,January,23.04,2023-01-23,NA,Cox's Bazar,Teknaf,Whykong,Nayapara,NA,Road,92.19922,21.11046,Illicit gain,NAp,NAp,Bangladeshi,NAp,Police,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,400,0,0,0,0,0,0,0,0,"On 23 January 2023, Whykhong Highway Police outpost conducted an operation and arrested two persons and recovered 400 pieces of Yaba tablet from the stomach of one of them during searching a Tom Tom on the Cox's Bazar-Teknaf regional highway at Nayapara of Hoikong Union in Teknaf Upazila of Cox's Bazar.",Teknaf News24 (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230710063,Drug,trade,1,2023,July,23.28,2023-07-10,NA,Cox's Bazar,Teknaf,Whykong,Satgoriapara,NA,Road,92.190926,21.114129,illicit gain,NAp,NAp,Bangladeshi,NAp,Police,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6000,0,0,0,0,0,0,0,0,Police arrested a Bangladeshi man in Teknaf with 6000 yaba pills.,CBNBD (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230419061,Drug,trade,1,2023,April,23.16,2023-04-19,0.5208333333333334,Cox's Bazar,Teknaf,Whykong,NA,police checkpost,Road,92.196588,21.11812,Illicit gain,Nap,NAp,Bangladeshi,Nap,Police,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2000,0,0,0,0,0,0,0,0,"On 19 April 2023, Police arrested a woman drug dealer with 2,000 pcs of Yaba tablets in Whykong of Teknaf Upazila in Cox’s Bazar.",Coxs Bazar News (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230102064,Drug,trade,1,2023,January,23.01,2023-01-02,NA,Cox's Bazar,Teknaf,Whykong,Kharangga,Kharangga,Road,92.19698,21.1232,Illicit gain,NAp,NAp,Rohingya and Bangladeshi,NAp,RAB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,104.4,0,0,0,0,0,"On 2 January, RAB arrested four drug dealers including two Rohingyas and seized 348 bottles of alcohol in Khanrang Gha, Whykong, Teknaf.  Accoring to confidential  source the head majhi died.",Manobzamin (Bang.),Banglnews24 (Bang.),NA,NA,NA,NA,NA,NA,NA
230211062,Drug,trade,1,2023,February,23.06,2023-02-11,NA,Cox's Bazar,Teknaf,Whykong,Whykong,Whykong,Road,92.196747,21.123685,Illicit gain,NAp,NAp,Bangladeshi,NAp,RAB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,70000,0,0,0,0,0,0,0,0,"On 11 Feb, RAB arrested three Bangladeshi drug dealers and seized 70,000 yaba tablets in Whykong, Teknaf.",Dhaka Times24 (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230731061,Drug,trade,1,2023,July,23.31,2023-07-31,NA,Cox's Bazar,Teknaf,Hnila,Naikkhongkhali,NA,Road,92.196758,21.124206,Illicit gain,NAp,NAp,Bangladeshi,NAp,RAB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40000,0,0,0,0,0,0,0,0,"On 31 July 2023 at 02:00hrs, Rapid Action Battalion (RAB) conducted an operation and arrested a drug dealer with 40,000 pieces of Yaba tablet in Gauchia Store area of Hnila Naikshyangkhali market in Ukhia Upazila in Cox’s Bazar.",Teknaf Today (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230407063,Drug,trade,1,2023,April,23.14,2023-04-07,0.513888888888889,Cox's Bazar,Teknaf,Whykong,Amtali Area,NA,Road,92.18909,21.125858,Illicit gain,NAp,NAp,Bangladeshi,NAp,Police,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2000,0,0,0,0,0,0,0,0,"On 07 April 2023 at 12:20hrs, Police conducted an operation and arrested a young with 2,000 pieces of yaba pill from Amtali area of Hoaikong Model Union of Teknaf Upazila in Cox's Bazar.",Teknaf Today (Bnag.),NA,NA,NA,NA,NA,NA,NA,NA
