dataset,indicator,atoll_official,island,value,normalized_value,sort_order,atoll_official_name,population,indicator2,value2
"Maduvvari, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Maduvvari,1760,0.33535307343470144,7,Maalhosmadulu Uthuruburi,1760,Population,1760
"Hulhumeedhoo, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Hulhumeedhoo,1872,0.3566937235623643,7,Maalhosmadulu Uthuruburi,1872,Population,1872
"Rasgetheemu, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Rasgetheemu,537,0.10232079570138333,7,Maalhosmadulu Uthuruburi,537,Population,537
"Rasmaadhoo, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Rasmaadhoo,554,0.10556000152433215,7,Maalhosmadulu Uthuruburi,554,Population,554
"Ugoofaaru, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Ugoofaaru,1754,0.3342098243207195,7,Maalhosmadulu Uthuruburi,1754,Population,1754
"Vaadhoo, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Vaadhoo,452,0.08612476658663923,7,Maalhosmadulu Uthuruburi,452,Population,452
"Dharavandhoo, Maalhosmadulu Dhekunuburi",Population,Baa Atoll,Dharavandhoo,997,0.18996989443999845,4,Maalhosmadulu Dhekunuburi,997,Population,997
"Dhonfanu, Maalhosmadulu Dhekunuburi",Population,Baa Atoll,Dhonfanu,398,0.0758355245608018,4,Maalhosmadulu Dhekunuburi,398,Population,398
"Eydhafushi, Maalhosmadulu Dhekunuburi",Population,Baa Atoll,Eydhafushi,2581,0.4917876605312298,4,Maalhosmadulu Dhekunuburi,2581,Population,2581
"Fehendhoo, Maalhosmadulu Dhekunuburi",Population,Baa Atoll,Fehendhoo,198,0.03772722076140391,4,Maalhosmadulu Dhekunuburi,198,Population,198
"Fulhadhoo, Maalhosmadulu Dhekunuburi",Population,Baa Atoll,Fulhadhoo,341,0.0649746579779734,4,Maalhosmadulu Dhekunuburi,341,Population,341
"Goidhoo, Maalhosmadulu Dhekunuburi",Population,Baa Atoll,Goidhoo,583,0.11108570557524484,4,Maalhosmadulu Dhekunuburi,583,Population,583
