Category,Sum of Value,ADMIN LEVEL-1 (Division),ADMIN LEVEL-2 (District) ,BDP Climate Zone,Column,Sum of Geocode,Sum of Rank-Coping Capacity,Sum of Rank-Vulnerability,RISK CLASS,RISK CLASS-Lack of Coping Capcity,RISK CLASS-Vulnerability,RISK CLASS_Hazard Exposure,Sum of Rank-Risk
INFORM Natural Hazard,4.1,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
INFORM Natural Hazard,5.1,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
INFORM Natural Hazard,6,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
INFORM Natural Hazard,5.5,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
INFORM Natural Hazard,5.6,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
INFORM Natural Hazard,6.9,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
INFORM Other Vulnerable Groups,6.4,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
INFORM Other Vulnerable Groups,5.1,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
INFORM Other Vulnerable Groups,5.3,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
INFORM Other Vulnerable Groups,3.4,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
INFORM Other Vulnerable Groups,5,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
INFORM Other Vulnerable Groups,5.4,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
INFORM Other Vulnerable Groups,4.5,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
INFORM Other Vulnerable Groups,5.6,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
INFORM Other Vulnerable Groups,4.3,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
INFORM Other Vulnerable Groups,4.8,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
INFORM Other Vulnerable Groups,4.8,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
INFORM Other Vulnerable Groups,4.2,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
INFORM Other Vulnerable Groups,3.7,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
INFORM Other Vulnerable Groups,5.6,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
INFORM RISK,6,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
INFORM RISK,5.6,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
INFORM RISK,5.5,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
INFORM RISK,5.1,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
INFORM RISK,5.7,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
INFORM RISK,5.6,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
INFORM RISK,5.7,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
INFORM RISK,5.8,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
INFORM RISK,5.3,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
INFORM RISK,5.6,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
INFORM RISK,5.9,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
INFORM RISK,5.1,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
INFORM RISK,5,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
INFORM RISK,5.9,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
INFORM Socio-Economic Vulnerability,5.5,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
INFORM Socio-Economic Vulnerability,5.5,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
INFORM Socio-Economic Vulnerability,5.4,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
INFORM Socio-Economic Vulnerability,5.2,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
INFORM Socio-Economic Vulnerability,5.9,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
INFORM Socio-Economic Vulnerability,6,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
INFORM Socio-Economic Vulnerability,5.8,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
INFORM Socio-Economic Vulnerability,5.6,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
INFORM Socio-Economic Vulnerability,5.5,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
INFORM Socio-Economic Vulnerability,5.6,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
INFORM Socio-Economic Vulnerability,5.9,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
INFORM Socio-Economic Vulnerability,4.9,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
INFORM Socio-Economic Vulnerability,5,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
INFORM Socio-Economic Vulnerability,5.5,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
INFORM Vulnerability,7.1,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
INFORM Vulnerability,6,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
INFORM Vulnerability,5.8,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
INFORM Vulnerability,4.7,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
INFORM Vulnerability,6.7,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
INFORM Vulnerability,6.1,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
INFORM Vulnerability,5.6,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
INFORM Vulnerability,5.6,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
INFORM Vulnerability,5,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
INFORM Vulnerability,5.6,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
INFORM Vulnerability,6.5,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
INFORM Vulnerability,4.7,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
INFORM Vulnerability,4.4,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
INFORM Vulnerability,5.5,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
INFORM Vulnerable Groups,7.2,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
INFORM Vulnerable Groups,6.4,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
INFORM Vulnerable Groups,6.2,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
INFORM Vulnerable Groups,4.1,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
INFORM Vulnerable Groups,7.4,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
INFORM Vulnerable Groups,6.1,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
INFORM Vulnerable Groups,5.4,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
INFORM Vulnerable Groups,5.5,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
INFORM Vulnerable Groups,4.4,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
INFORM Vulnerable Groups,5.5,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
INFORM Vulnerable Groups,7.1,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
INFORM Vulnerable Groups,4.4,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
INFORM Vulnerable Groups,3.7,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
INFORM Vulnerable Groups,5.5,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
INFROM Institution,5.3,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
INFROM Institution,6.7,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
INFROM Institution,5.7,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
INFROM Institution,6.1,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
INFROM Institution,5.7,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
INFROM Institution,6.5,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
INFROM Institution,6.7,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
INFROM Institution,6.7,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
INFROM Institution,7.4,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
INFROM Institution,6.9,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
INFROM Institution,6.5,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
INFROM Institution,6.3,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
INFROM Institution,6.1,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
INFROM Institution,7,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
LACK OF COPING CAPACITY,4.5,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
LACK OF COPING CAPACITY,5.1,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
LACK OF COPING CAPACITY,5,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
LACK OF COPING CAPACITY,4.5,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
LACK OF COPING CAPACITY,4.7,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
LACK OF COPING CAPACITY,4.8,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
LACK OF COPING CAPACITY,5.2,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
LACK OF COPING CAPACITY,5.6,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
LACK OF COPING CAPACITY,5.4,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
LACK OF COPING CAPACITY,5.4,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
LACK OF COPING CAPACITY,5.1,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
LACK OF COPING CAPACITY,4.6,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
LACK OF COPING CAPACITY,4.7,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
LACK OF COPING CAPACITY,5.7,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
Landslide,0,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
Landslide,0,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
Landslide,0,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
Landslide,0,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
Landslide,0,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
Landslide,0,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
Landslide,0,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
Landslide,0,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
Landslide,0,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
Landslide,0,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
Landslide,0,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
Landslide,0,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
Landslide,0,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
Landslide,0,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
Lightning,4.1,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
Lightning,1.8,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
Lightning,0,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
Lightning,2.8,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
Lightning,4.1,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
Lightning,0,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
Lightning,4.6,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
Lightning,5.6,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
Lightning,1.8,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
Lightning,3.5,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
Lightning,3.5,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
Lightning,6.1,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
Lightning,6.4,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
Lightning,8.1,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
Other Vulnerability,6.3,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
Other Vulnerability,3.9,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
Other Vulnerability,3.7,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
Other Vulnerability,4.3,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
Other Vulnerability,4.5,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
Other Vulnerability,3.9,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
Other Vulnerability,4,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
Other Vulnerability,4.7,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
Other Vulnerability,3.4,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
Other Vulnerability,4.6,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
Other Vulnerability,6,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
Other Vulnerability,4.3,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
Other Vulnerability,3.5,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
Other Vulnerability,3.9,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
Physical Connectivity,6,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
Physical Connectivity,1.8,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
Physical Connectivity,4.9,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
Physical Connectivity,0.9,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
Physical Connectivity,4,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
Physical Connectivity,0.4,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
Physical Connectivity,1.8,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
Physical Connectivity,4.4,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
Physical Connectivity,2,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
Physical Connectivity,2.6,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
Physical Connectivity,4.6,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
Physical Connectivity,1.2,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
Physical Connectivity,1.7,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
Physical Connectivity,7,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
Preparedness and Response,4.5,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
Preparedness and Response,7.3,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
Preparedness and Response,5.3,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
Preparedness and Response,5.1,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
Preparedness and Response,5.6,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
Preparedness and Response,7,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
Preparedness and Response,6.8,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
Preparedness and Response,7.2,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
Preparedness and Response,8.8,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
Preparedness and Response,8.2,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
Preparedness and Response,7.3,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
Preparedness and Response,8.8,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
Preparedness and Response,8.4,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
Preparedness and Response,7.7,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
Rank_Hazard Exposure,1,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
Rank_Hazard Exposure,46,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
Rank_Hazard Exposure,51,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
Rank_Hazard Exposure,23,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
Rank_Hazard Exposure,27,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
Rank_Hazard Exposure,38,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
Rank_Hazard Exposure,12,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
Rank_Hazard Exposure,12,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
Rank_Hazard Exposure,63,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
Rank_Hazard Exposure,46,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
Rank_Hazard Exposure,12,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
Rank_Hazard Exposure,27,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
Rank_Hazard Exposure,27,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
Rank_Hazard Exposure,2,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
Recen t Shocks,5.2,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
Recen t Shocks,2.9,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
Recen t Shocks,5.1,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
Recen t Shocks,0,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
Recen t Shocks,3.3,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
Recen t Shocks,2.9,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
Recen t Shocks,2.1,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
Recen t Shocks,4.7,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
Recen t Shocks,2.8,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
Recen t Shocks,5.3,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
Recen t Shocks,4.1,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
Recen t Shocks,3.4,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
Recen t Shocks,2.2,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
Recen t Shocks,6.2,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
Riverbank Erosion,,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
Riverbank Erosion,,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
Riverbank Erosion,,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
Riverbank Erosion,,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
Riverbank Erosion,,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
Riverbank Erosion,,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
Riverbank Erosion,,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
Riverbank Erosion,,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
Riverbank Erosion,,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
Riverbank Erosion,5.8,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
Riverbank Erosion,,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
Riverbank Erosion,0,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
Riverbank Erosion,4.5,Khulna,Kushtia,Coastal Zone,BD4050,4050,58,55,Low,Low,Low,Medium,56
Riverbank Erosion,,Khulna,Satkhira,Coastal Zone,BD4087,4087,1,23,Very High,Very High,Medium,Very High,5
Salinity Risk,9.9,Barishal,Barguna,Coastal Zone,BD1004,1004,62,2,Very High,Very Low,Very High,Very High,4
Salinity Risk,0,Barishal,Barishal,Coastal Zone,BD1006,1006,30,9,High,Medium,High,Low,16
Salinity Risk,0,Barishal,Bhola,Coastal Zone,BD1009,1009,39,13,Medium,Medium,High,Very Low,25
Salinity Risk,0,Barishal,Jhalokati,Coastal Zone,BD1042,1042,62,46,Low,Very Low,Low,Medium,52
Salinity Risk,0,Barishal,Patuakhali,Coastal Zone,BD1078,1078,58,4,High,Low,Very High,Medium,11
Salinity Risk,0,Barishal,Pirojpur,Coastal Zone,BD1079,1079,54,7,High,Low,High,Low,16
Salinity Risk,0,Chattogram,Lakshmipur,Coastal Zone,BD2051,2051,25,19,High,High,Medium,High,11
Salinity Risk,0,Chattogram,Noakhali,Coastal Zone,BD2075,2075,7,19,High,Very High,Medium,High,8
Salinity Risk,0,Dhaka,Gopalganj,Coastal Zone,BD3035,3035,15,35,Medium,High,Low,Very Low,40
Salinity Risk,0,Dhaka,Shariatpur,Coastal Zone,BD3086,3086,15,19,High,High,Medium,Low,16
Salinity Risk,0,Khulna,Bagerhat,Coastal Zone,BD4001,4001,30,5,Very High,Medium,Very High,High,5
Salinity Risk,0,Khulna,Jashore,Coastal Zone,BD4041,4041,61,46,Low,Low,Low,Medium,52
