area_of_origin,area_of_destination,sex,migrants_1990,migrants_1995,migrants_2000,migrants_2005,migrants_2010,migrants_2015,migrants_2020,origin_iso,destination_iso,origin_population_2000,origin_population_2010,origin_population_2015,origin_population_2020,destination_population_2000,destination_population_2010,destination_population_2015,destination_population_2020
Afghanistan,Pakistan,male,1723293,660633,1106710,623606,1017008,810665,805362,AFG,PAK,19542982,28189672,33753499,38972230,154369924,194454498,210969298,227196741
Afghanistan,Philippines,female,6,8,401,319,632,641,680,AFG,PHL,19542982,28189672,33753499,38972230,77958223,94636700,103031365,112190977
Afghanistan,Philippines,male,19,25,380,313,569,579,617,AFG,PHL,19542982,28189672,33753499,38972230,77958223,94636700,103031365,112190977
Afghanistan,Poland,male,194,166,142,135,132,126,168,AFG,POL,19542982,28189672,33753499,38972230,38258629,38042794,37986412,37899070
Afghanistan,Qatar,female,103,105,92,158,269,291,316,AFG,QAT,19542982,28189672,33753499,38972230,645937,1713504,2414573,2760385
Afghanistan,Qatar,male,281,312,296,462,1087,1280,1283,AFG,QAT,19542982,28189672,33753499,38972230,645937,1713504,2414573,2760385
Afghanistan,Russian Federation,female,9729,5765,1590,1393,1167,1196,1194,AFG,RUS,19542982,28189672,33753499,38972230,146596869,142849468,144640716,145245148
Afghanistan,Russian Federation,male,9374,9811,9896,6935,3832,3899,3896,AFG,RUS,19542982,28189672,33753499,38972230,146596869,142849468,144640716,145245148
Afghanistan,Saudi Arabia,female,55665,56751,58061,67588,83043,118377,150916,AFG,SAU,19542982,28189672,33753499,38972230,21547390,29411929,32749848,35997107
Afghanistan,Saudi Arabia,male,110590,113637,117007,148673,197352,266864,330299,AFG,SAU,19542982,28189672,33753499,38972230,21547390,29411929,32749848,35997107
Afghanistan,Slovakia,male,24,106,276,451,119,132,166,AFG,SVK,19542982,28189672,33753499,38972230,5388720,5391428,5423801,5458827
Afghanistan,Spain,female,7,11,129,63,95,110,150,AFG,ESP,19542982,28189672,33753499,38972230,40567864,46576897,46444832,47365655
Afghanistan,Spain,male,17,26,326,156,344,348,465,AFG,ESP,19542982,28189672,33753499,38972230,40567864,46576897,46444832,47365655
Afghanistan,Sweden,female,1479,1768,1909,3820,5468,21476,18827,AFG,SWE,19542982,28189672,33753499,38972230,8872109,9378126,9799186,10353442
Afghanistan,Sweden,male,1889,2229,2378,4435,7229,32202,34479,AFG,SWE,19542982,28189672,33753499,38972230,8872109,9378126,9799186,10353442
Afghanistan,Switzerland,female,692,832,974,1210,1429,4271,4420,AFG,CHE,19542982,28189672,33753499,38972230,7184250,7824909,8282396,8638167
Afghanistan,Switzerland,male,1064,1411,1766,2090,2188,7658,10616,AFG,CHE,19542982,28189672,33753499,38972230,7184250,7824909,8282396,8638167
Afghanistan,Syrian Arab Republic,female,0,45,85,308,1277,708,558,AFG,SYR,19542982,28189672,33753499,38972230,16307654,22337563,19205178,20772595
Afghanistan,Syrian Arab Republic,male,0,47,87,321,1328,779,585,AFG,SYR,19542982,28189672,33753499,38972230,16307654,22337563,19205178,20772595
Afghanistan,Tajikistan,female,4759,6731,9273,6949,6903,6843,6867,AFG,TJK,19542982,28189672,33753499,38972230,6272998,7621779,8524063,9543207
Afghanistan,Tajikistan,male,3726,5517,7845,5687,5703,5550,5566,AFG,TJK,19542982,28189672,33753499,38972230,6272998,7621779,8524063,9543207
