iso3,country,year,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_internal_displacements,conflict_internal_displacements_raw,disaster_internal_displacements,disaster_internal_displacements_raw,disaster_stock_displacement,disaster_stock_displacement_raw,total_displacement,population,disaster_per_100k,conflict_per_100k,total_displacement_per_100k
AUS,Australia,2020,NA,0,NA,NA,51000,51433,46,46,46,25649248,0.179342,0,0.179342
BGD,Bangladesh,2020,426000,426280,210,210,4443000,4443088,344000,343773,770053,167420951,205.334516,254.615684,459.950201
BTN,Bhutan,2020,NA,0,NA,NA,120,120,NA,0,0,772506,NA,0,0
CHN,China,2020,NA,0,NA,NA,5074000,5074039,158000,157542,157542,1411100000,11.164482,0,11.164482
FJI,Fiji,2020,NA,0,NA,NA,37000,36563,14000,13580,13580,920422,1475.410192,0,1475.410192
HKG,"Hong Kong, China",2020,NA,0,NA,NA,160,163,NA,0,0,7481000,NA,0,0
IDN,Indonesia,2020,42000,42041,4600,4599,705000,704513,160000,160396,202437,271857970,58.999926,15.464325,74.464251
IND,India,2020,473000,473079,3900,3922,3856000,3856213,933000,933471,1406550,1396387127,66.849012,33.878786,100.727798
IRN,Iran,2020,NA,0,NA,NA,52000,51992,20000,20079,20079,87290193,23.002584,0,23.002584
JPN,Japan,2020,NA,0,NA,NA,186000,185868,61000,61262,61262,126261000,48.520129,0,48.520129
KHM,Cambodia,2020,NA,0,NA,NA,66000,66250,260,258,258,16396860,1.573472,0,1.573472
LAO,Lao PDR,2020,NA,0,NA,NA,12000,12360,2000,2000,2000,7319399,27.324648,0,27.324648
MAC,"Macao, China",2020,NA,0,NA,NA,2800,2838,NA,0,0,676283,NA,0,0
MMR,Myanmar,2020,505000,505378,70000,70194,50000,49547,4600,4620,509998,53423198,8.647929,945.989793,954.637721
MYS,Malaysia,2020,NA,0,NA,NA,23000,23418,NA,0,0,33199993,NA,0,0
NZL,New Zealand,2020,NA,0,NA,NA,5000,4981,370,368,368,5090200,7.229578,0,7.229578
PAK,Pakistan,2020,100000,100041,160,161,829000,828524,806000,806274,906315,227196741,354.87921,44.032762,398.911972
PHL,Philippines,2020,153000,153057,111000,110622,4450000,4449771,135000,135207,288264,112190977,120.515039,136.42541,256.940449
PNG,Papua New Guinea,2020,14000,14216,NA,NA,3900,3894,2700,2663,16879,9749640,27.313829,145.810512,173.124341
PRK,Dem. People's Rep. Korea,2020,NA,0,NA,NA,5300,5345,5300,5345,5345,25867467,20.66302,0,20.66302
THA,Thailand,2020,41000,40584,NA,NA,13000,13491,320,320,40904,71475664,0.447705,56.780165,57.22787
TLS,Timor-Leste,2020,NA,0,NA,NA,1100,1141,1100,1064,1064,1299995,81.846469,0,81.846469
TON,Tonga,2020,NA,0,NA,NA,2700,2678,NA,0,0,105254,NA,0,0
TUV,Tuvalu,2020,NA,0,NA,NA,200,200,NA,0,0,11069,NA,0,0
VNM,Viet Nam,2020,NA,0,NA,NA,1264000,1264367,162000,161812,161812,96648685,167.422868,0,167.422868
VUT,Vanuatu,2020,NA,0,NA,NA,80000,80191,64000,64067,64067,311685,20555.047564,0,20555.047564
AFG,Afghanistan,2019,2993000,2993384,461000,460692,117000,116768,1198000,1198137,4191521,37769499,3172.234294,7925.400334,11097.634628
AUS,Australia,2019,NA,0,NA,NA,25000,24841,8200,8247,8247,25334826,32.552029,0,32.552029
BGD,Bangladesh,2019,426000,426070,29,29,4084000,4083940,88000,88199,514269,165516222,53.287224,257.418877,310.706101
CHN,China,2019,NA,0,NA,NA,4034000,4033553,217000,217356,217356,1407745000,15.440012,0,15.440012
FJI,Fiji,2019,NA,0,NA,NA,5600,5620,1100,1109,1109,918465,120.744939,0,120.744939
HKG,"Hong Kong, China",2019,NA,0,NA,NA,200,205,NA,0,0,7507900,NA,0,0
IDN,Indonesia,2019,37000,36590,23000,23396,463000,462646,104000,104328,140918,269582878,38.699787,13.57282,52.272608
IND,India,2019,470000,469624,12000,12289,5018000,5017722,126000,125586,595210,1383112050,9.079958,33.954154,43.034113
IRN,Iran,2019,NA,0,NA,NA,520000,519724,178000,178025,178025,86564202,205.656606,0,205.656606
JPN,Japan,2019,NA,0,NA,NA,265000,264567,88000,88197,88197,126633000,69.647722,0,69.647722
KHM,Cambodia,2019,NA,0,NA,NA,70000,70108,1300,1293,1293,16207746,7.977667,0,7.977667
LAO,Lao PDR,2019,NA,0,NA,NA,103000,102540,5400,5427,5427,7212053,75.249031,0,75.249031
MDV,Maldives,2019,NA,0,NA,NA,300,296,NA,0,0,504508,NA,0,0
MHL,Marshall Islands,2019,NA,0,NA,NA,200,200,NA,0,0,44728,NA,0,0
MMR,Myanmar,2019,457000,457313,80000,79652,270000,270014,41000,40514,497827,53040212,76.383556,862.200551,938.584107
MYS,Malaysia,2019,NA,0,NA,NA,63000,63228,15000,15286,15286,32804020,46.597947,0,46.597947
NZL,New Zealand,2019,NA,0,NA,NA,1300,1298,11,11,11,4979200,0.220919,0,0.220919
PAK,Pakistan,2019,105000,104522,15000,14812,100000,100082,15000,15353,119875,223293280,6.875711,46.80929,53.685001
