area_of_origin,area_of_destination,year,sex,migrants,origin_iso,destination_iso,origin_population,destination_population
Afghanistan,Czechia,2005,female,79,AFG,CZE,24411191,10211216
Afghanistan,Czechia,2005,male,142,AFG,CZE,24411191,10211216
Afghanistan,Czechia,2010,female,121,AFG,CZE,28189672,10474410
Afghanistan,Czechia,2010,male,196,AFG,CZE,28189672,10474410
Afghanistan,Czechia,2015,female,150,AFG,CZE,33753499,10546059
Afghanistan,Czechia,2015,male,268,AFG,CZE,33753499,10546059
Afghanistan,Czechia,2020,female,151,AFG,CZE,38972230,10697858
Afghanistan,Czechia,2020,male,333,AFG,CZE,38972230,10697858
Afghanistan,Denmark,2000,female,1347,AFG,DNK,19542982,5339616
Afghanistan,Denmark,2000,male,1594,AFG,DNK,19542982,5339616
Afghanistan,Denmark,2005,female,3047,AFG,DNK,24411191,5419432
Afghanistan,Denmark,2005,male,3562,AFG,DNK,24411191,5419432
Afghanistan,Denmark,2010,female,4531,AFG,DNK,28189672,5547683
Afghanistan,Denmark,2010,male,5286,AFG,DNK,28189672,5547683
Afghanistan,Denmark,2015,female,5476,AFG,DNK,33753499,5683483
Afghanistan,Denmark,2015,male,6817,AFG,DNK,33753499,5683483
Afghanistan,Denmark,2020,female,6119,AFG,DNK,38972230,5831404
Afghanistan,Denmark,2020,male,7596,AFG,DNK,38972230,5831404
Afghanistan,Ecuador,2000,female,9,AFG,ECU,19542982,12626507
Afghanistan,Ecuador,2000,male,14,AFG,ECU,19542982,12626507
Afghanistan,Ecuador,2005,female,11,AFG,ECU,24411191,13770012
Afghanistan,Ecuador,2005,male,17,AFG,ECU,24411191,13770012
Afghanistan,Ecuador,2010,female,17,AFG,ECU,28189672,14989585
Afghanistan,Ecuador,2010,male,27,AFG,ECU,28189672,14989585
Afghanistan,Ecuador,2015,female,53,AFG,ECU,33753499,16195902
Afghanistan,Ecuador,2015,male,59,AFG,ECU,33753499,16195902
Afghanistan,Ecuador,2020,female,71,AFG,ECU,38972230,17588595
Afghanistan,Ecuador,2020,male,96,AFG,ECU,38972230,17588595
Afghanistan,Egypt,2000,female,37,AFG,EGY,19542982,71371371
Afghanistan,Egypt,2000,male,117,AFG,EGY,19542982,71371371
Afghanistan,Egypt,2005,female,41,AFG,EGY,24411191,79075310
Afghanistan,Egypt,2005,male,142,AFG,EGY,24411191,79075310
Afghanistan,Egypt,2010,female,46,AFG,EGY,28189672,87252413
Afghanistan,Egypt,2010,male,152,AFG,EGY,28189672,87252413
Afghanistan,Egypt,2015,female,27,AFG,EGY,33753499,97723799
Afghanistan,Egypt,2015,male,108,AFG,EGY,33753499,97723799
Afghanistan,Egypt,2020,female,46,AFG,EGY,38972230,107465134
Afghanistan,Egypt,2020,male,164,AFG,EGY,38972230,107465134
Afghanistan,Estonia,2010,female,3,AFG,EST,28189672,1331475
Afghanistan,Estonia,2010,male,10,AFG,EST,28189672,1331475
Afghanistan,Estonia,2015,female,6,AFG,EST,33753499,1315407
Afghanistan,Estonia,2015,male,20,AFG,EST,33753499,1315407
Afghanistan,Estonia,2020,female,19,AFG,EST,38972230,1329522
Afghanistan,Estonia,2020,male,46,AFG,EST,38972230,1329522
Afghanistan,Finland,2000,female,143,AFG,FIN,19542982,5176209
Afghanistan,Finland,2000,male,141,AFG,FIN,19542982,5176209
Afghanistan,Finland,2005,female,713,AFG,FIN,24411191,5246096
Afghanistan,Finland,2005,male,891,AFG,FIN,24411191,5246096
Afghanistan,Finland,2010,female,1061,AFG,FIN,28189672,5363352
Afghanistan,Finland,2010,male,1281,AFG,FIN,28189672,5363352
Afghanistan,Finland,2015,female,2102,AFG,FIN,33753499,5479531
Afghanistan,Finland,2015,male,2521,AFG,FIN,33753499,5479531
Afghanistan,Finland,2020,female,2702,AFG,FIN,38972230,5529543
Afghanistan,Finland,2020,male,4317,AFG,FIN,38972230,5529543
Afghanistan,France,2000,female,1580,AFG,FRA,19542982,60921384
Afghanistan,France,2000,male,1983,AFG,FRA,19542982,60921384
Afghanistan,France,2005,female,1463,AFG,FRA,24411191,63188395
Afghanistan,France,2005,male,1946,AFG,FRA,24411191,63188395
Afghanistan,France,2010,female,2025,AFG,FRA,28189672,65030575
Afghanistan,France,2010,male,2445,AFG,FRA,28189672,65030575
Afghanistan,France,2015,female,3335,AFG,FRA,33753499,66548272
Afghanistan,France,2015,male,3175,AFG,FRA,33753499,66548272
Afghanistan,France,2020,female,18061,AFG,FRA,38972230,67571107
Afghanistan,France,2020,male,17287,AFG,FRA,38972230,67571107
Afghanistan,Georgia,2000,female,20,AFG,GEO,19542982,4077131
Afghanistan,Georgia,2000,male,22,AFG,GEO,19542982,4077131
Afghanistan,Georgia,2005,female,18,AFG,GEO,24411191,3902469
Afghanistan,Georgia,2005,male,21,AFG,GEO,24411191,3902469
Afghanistan,Georgia,2010,female,18,AFG,GEO,28189672,3786695
Afghanistan,Georgia,2010,male,21,AFG,GEO,28189672,3786695
Afghanistan,Georgia,2015,female,18,AFG,GEO,33753499,3725276
Afghanistan,Georgia,2015,male,22,AFG,GEO,33753499,3725276
Afghanistan,Georgia,2020,female,17,AFG,GEO,38972230,3722716
Afghanistan,Georgia,2020,male,23,AFG,GEO,38972230,3722716
