island,atoll_official,population,atoll_local_name,concat
Kihaadhoo,Baa Atoll,481,Maalhosmadulu Dhekunuburi,"Kihaadhoo, Baa Atoll"
Kudarikilu,Baa Atoll,557,Maalhosmadulu Dhekunuburi,"Kudarikilu, Baa Atoll"
Maalhos,Baa Atoll,572,Maalhosmadulu Dhekunuburi,"Maalhos, Baa Atoll"
Thulhaadhoo,Baa Atoll,1625,Maalhosmadulu Dhekunuburi,"Thulhaadhoo, Baa Atoll"
Hinnavaru,Lhaviyani Atoll,2286,Faadhippolhu,"Hinnavaru, Lhaviyani Atoll"
Kurendhoo,Lhaviyani Atoll,1171,Faadhippolhu,"Kurendhoo, Lhaviyani Atoll"
Naifaru,Lhaviyani Atoll,4832,Faadhippolhu,"Naifaru, Lhaviyani Atoll"
Olhuvelifushi,Lhaviyani Atoll,703,Faadhippolhu,"Olhuvelifushi, Lhaviyani Atoll"
Dhiffushi,Kaafu Atoll,1270,Malé Atholhu,"Dhiffushi, Kaafu Atoll"
Gaafaru,Kaafu Atoll,1294,Malé Atholhu,"Gaafaru, Kaafu Atoll"
Gulhi,Kaafu Atoll,976,Malé Atholhu,"Gulhi, Kaafu Atoll"
Guraidhoo,Kaafu Atoll,1743,Malé Atholhu,"Guraidhoo, Kaafu Atoll"
Himmafushi,Kaafu Atoll,2012,Malé Atholhu,"Himmafushi, Kaafu Atoll"
Huraa,Kaafu Atoll,1654,Malé Atholhu,"Huraa, Kaafu Atoll"
Kaashidhoo,Kaafu Atoll,2528,Malé Atholhu,"Kaashidhoo, Kaafu Atoll"
Maafushi,Kaafu Atoll,4471,Malé Atholhu,"Maafushi, Kaafu Atoll"
Thulusdhoo,Kaafu Atoll,1801,Malé Atholhu,"Thulusdhoo, Kaafu Atoll"
Bodufolhudhoo,Alif Uthuru Buri,704,Ari Atholhu Uthuruburi,"Bodufolhudhoo, Alif Uthuru Buri"
Feridhoo,Alif Uthuru Buri,544,Ari Atholhu Uthuruburi,"Feridhoo, Alif Uthuru Buri"
Himandhoo,Alif Uthuru Buri,885,Ari Atholhu Uthuruburi,"Himandhoo, Alif Uthuru Buri"
Maalhos,Alif Uthuru Buri,516,Ari Atholhu Uthuruburi,"Maalhos, Alif Uthuru Buri"
Mathiveri,Alif Uthuru Buri,878,Ari Atholhu Uthuruburi,"Mathiveri, Alif Uthuru Buri"
Rasdhoo,Alif Uthuru Buri,1282,Ari Atholhu Uthuruburi,"Rasdhoo, Alif Uthuru Buri"
Thoddoo,Alif Uthuru Buri,1924,Ari Atholhu Uthuruburi,"Thoddoo, Alif Uthuru Buri"
Ukulhas,Alif Uthuru Buri,1284,Ari Atholhu Uthuruburi,"Ukulhas, Alif Uthuru Buri"
Dhagethi,Alif Dhekunu Buri,936,Ari Atholhu Dhekunuburi,"Dhagethi, Alif Dhekunu Buri"
Dhidhdhoo,Alif Dhekunu Buri,141,Ari Atholhu Dhekunuburi,"Dhidhdhoo, Alif Dhekunu Buri"
Dhigurah,Alif Dhekunu Buri,761,Ari Atholhu Dhekunuburi,"Dhigurah, Alif Dhekunu Buri"
Fenfushi,Alif Dhekunu Buri,1000,Ari Atholhu Dhekunuburi,"Fenfushi, Alif Dhekunu Buri"
Hangnameedhoo,Alif Dhekunu Buri,484,Ari Atholhu Dhekunuburi,"Hangnameedhoo, Alif Dhekunu Buri"
Kuburudhoo,Alif Dhekunu Buri,509,Ari Atholhu Dhekunuburi,"Kuburudhoo, Alif Dhekunu Buri"
Maamigili,Alif Dhekunu Buri,2798,Ari Atholhu Dhekunuburi,"Maamigili, Alif Dhekunu Buri"
