Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Lao PDR,LAO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1777.4100825357,1893.32648776004,2009.82538567813,2125.4589005996,2240.41618173337,2358.37249045474,2467.95557992654,2564.01946515237,2539.12433769357,2566.27723361315,2599.2048876829,2659.71838486483
Malaysia,MYS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8711.29585407121,8976.5456139839,9369.10215840487,9699.60046342736,9984.16368060234,10416.0416934375,10777.7665213518,11114.5605305734,10382.7274795282,10605.6769579889,11399.397137351,11691.3612742999
Maldives,MDV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8888.11483316616,9194.11557772168,9530.5884472225,9480.43151261807,9688.2482786421,9972.37713599052,10453.6355243607,10888.6445610502,7164.30738408638,9731.55618146829,11035.5824700841,11534.9169043805
Marshall Islands,MHL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3356.67607994496,3535.50201525364,3559.24306218188,3708.21556179322,3872.45264574098,4114.26098668513,4460.33625015969,5061.10371299857,5066.00583867987,5288.39002466371,5313.44482697912,5429.08848461758
"Micronesia, Fed. Sts.",FSM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2970.26518835138,2851.03543413615,2774.69471408479,2891.32210264749,2893.08194960448,2903.55427515175,2890.49300548105,2996.31730468653,2918.51606374186,2973.05150996116,2923.22295188222,2919.04716355461
Mongolia,MNG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3374.43838312918,3697.60133986287,3909.91331954702,3919.35121343969,3892.65220400112,4023.78562311837,4242.30022157508,4385.11167680522,4106.60268340307,4107.18372095123,4249.67501406205,4483.75520166213
Myanmar,MMR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,945.896792699941,1016.88780960663,1090.83255547564,1157.78396112581,1216.01262766582,1280.85424337536,1351.38830035161,1430.13634322583,1291.40780889804,1128.30976104801,1165.60552269408,1168.68760910701
Palau,PLW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,14283.2811531905,13959.2748499312,14705.775811301,16141.1696583338,16263.4998699848,15669.3657288433,15744.7982137504,15841.8786324375,14597.3350379481,12493.6121531707,12426.9757092281,12480.628289499
Papua New Guinea,PNG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2154.09993823073,2177.0706517797,2408.10830595741,2502.07344498028,2575.06751204141,2603.01503310235,2536.0831879568,2590.49392420181,2455.14534207974,2387.06950318016,2462.54909155505,2482.71988215569
Philippines,PHL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2589.13439733684,2717.67977655782,2843.84360391676,2974.29691673713,3130.91064086023,3289.47226809885,3439.10052334951,3589.61363648629,3195.53888262264,3328.04235516784,3528.33042834523,3667.56553714902
Samoa,WSM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3975.0180776793,3943.15999402887,3933.41618244538,4048.46711296568,4329.72767085525,4346.50459079704,4277.34201549273,4421.29454588713,4223.58817209183,3855.80793268071,3591.80494763263,3822.16026355624
Solomon Islands,SLB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2127.58004418029,2182.87688859711,2153.33551212503,2134.80541826155,2197.98817788824,2210.91151030765,2217.81727876586,2203.96286598146,2079.54030646397,2082.66777880845,2084.34705555229,2099.02954839964
Sri Lanka,LKA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3512.13425627403,3634.61702853361,3846.82623839724,3990.35311739446,4174.63699572818,4427.54255069831,4495.71046284418,4458.43442725849,4229.74959441854,4360.56692396976,4035.6526670538,3968.67636479424
Thailand,THA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5425.68517377961,5537.7423220456,5561.69761642482,5708.79409105798,5878.7539395442,6099.1980263524,6336.23967742373,6453.89408036298,6049.18761058698,6133.28601848203,6275.92658410955,6384.80718079699
Tonga,TON,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3926.21508373269,3953.66611492546,4050.99328726867,4117.93104694205,4405.74941154047,4564.73687632076,4587.2801410509,4628.44801274001,4637.6754528706,4481.47835159304,4356.77157454493,..
Tuvalu,TUV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2943.61362265038,3053.59149328963,3058.91475582496,3384.38320147639,3584.19006429158,3680.08389531743,3718.43097727405,4197.24209189716,3976.79623412583,3999.76106249156,3988.40592075917,4111.54035058776
Vanuatu,VUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2731.29269452105,2679.17540652745,2697.77303745142,2643.8868859095,2701.59225142955,2802.77893916872,2815.5871437955,2838.98826949984,2634.24388390429,2532.79663882328,2521.26089403061,2517.22518480336
Viet Nam,VNM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2229.32008570274,2327.93288310222,2451.15938864721,2595.23484372958,2741.05278752657,2903.02820194861,3090.77259500058,3288.35288950188,3352.06001102928,3408.76455391101,3658.69316280086,3817.19766783045
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 06/28/2024,,,,,,,,,,,,,,,
