adm1_pcode,atoll_official,island,adm2_en,adm2_pcode,local_names,concat
MV005,Lhaviyani Atoll,Olhuvelifushi,Olhuvelifushi,MV005004,Lhaviyani (Lh),"Olhuvelifushi, Lhaviyani (Lh)"
MV006,Raa Atoll,Agolhitheemu,An'golhitheemu,MV006004,Raa (R),"Agolhitheemu, Raa (R)"
MV006,Raa Atoll,Alifushi,Alifushi,MV006001,Raa (R),"Alifushi, Raa (R)"
MV006,Raa Atoll,Dhuvaafaru,Dhuvaafaru,MV006019,Raa (R),"Dhuvaafaru, Raa (R)"
MV006,Raa Atoll,Fainu,Fainu,MV006013,Raa (R),"Fainu, Raa (R)"
MV006,Raa Atoll,Hulhudhuffaaru,Hulhudhuffaaru,MV006005,Raa (R),"Hulhudhuffaaru, Raa (R)"
MV006,Raa Atoll,Iguraidhoo,In'guraidhoo,MV006012,Raa (R),"Iguraidhoo, Raa (R)"
MV006,Raa Atoll,Innamaadhoo,Innamaadhoo,MV006010,Raa (R),"Innamaadhoo, Raa (R)"
MV006,Raa Atoll,Kinolhas,Kinolhas,MV006015,Raa (R),"Kinolhas, Raa (R)"
MV006,Raa Atoll,Maakurathu,Maakurathu,MV006008,Raa (R),"Maakurathu, Raa (R)"
MV006,Raa Atoll,Maduvvari,Maduvvari,MV006011,Raa (R),"Maduvvari, Raa (R)"
MV006,Raa Atoll,Hulhumeedhoo,Hulhudhoo,MV006051,Raa (R),"Hulhumeedhoo, Raa (R)"
MV006,Raa Atoll,Rasgetheemu,Rasgetheemu,MV006003,Raa (R),"Rasgetheemu, Raa (R)"
MV006,Raa Atoll,Rasmaadhoo,Rasmaadhoo,MV006009,Raa (R),"Rasmaadhoo, Raa (R)"
MV006,Raa Atoll,Ugoofaaru,Un'goofaaru,MV006006,Raa (R),"Ugoofaaru, Raa (R)"
MV006,Raa Atoll,Vaadhoo,Vaadhoo,MV006002,Raa (R),"Vaadhoo, Raa (R)"
MV006,Raa Atoll,Kandholhudhoo,Kan'dholhudhoo,MV006007,Raa (R),"Kandholhudhoo, Raa (R)"
MV007,Baa Atoll,Dharavandhoo,Dharavandhoo,MV007006,Baa (B),"Dharavandhoo, Baa (B)"
MV007,Baa Atoll,Dhonfanu,Dhonfanu,MV007005,Baa (B),"Dhonfanu, Baa (B)"
MV007,Baa Atoll,Eydhafushi,Eydhafushi,MV007008,Baa (B),"Eydhafushi, Baa (B)"
MV007,Baa Atoll,Fehendhoo,Fehendhoo,MV007012,Baa (B),"Fehendhoo, Baa (B)"
MV007,Baa Atoll,Fulhadhoo,Fulhadhoo,MV007011,Baa (B),"Fulhadhoo, Baa (B)"
MV007,Baa Atoll,Goidhoo,Goidhoo,MV007013,Baa (B),"Goidhoo, Baa (B)"
MV007,Baa Atoll,Hithaadhoo,Hithaadhoo,MV007010,Baa (B),"Hithaadhoo, Baa (B)"
MV007,Baa Atoll,Kamadhoo,Kamadhoo,MV007002,Baa (B),"Kamadhoo, Baa (B)"
MV007,Baa Atoll,Kendhoo,Kendhoo,MV007003,Baa (B),"Kendhoo, Baa (B)"
MV007,Baa Atoll,Kihaadhoo,Kihaadhoo,MV007004,Baa (B),"Kihaadhoo, Baa (B)"
MV007,Baa Atoll,Kudarikilu,Kudarikilu,MV007001,Baa (B),"Kudarikilu, Baa (B)"
MV007,Baa Atoll,Maalhos,Maalhos,MV007007,Baa (B),"Maalhos, Baa (B)"
MV007,Baa Atoll,Thulhaadhoo,Thulhaadhoo,MV007009,Baa (B),"Thulhaadhoo, Baa (B)"
MV007,Baa Atoll,Maalhoss,NA,MV007007,Baa (B),"Maalhoss, Baa (B)"
MV007,Baa Atoll,Finolhas,Finolhas,MV007032,Baa (B),"Finolhas, Baa (B)"
MV008,Alif Uthuru Buri,Bodufolhudhoo,Bodufolhudhoo,MV008005,Alif Alif (AA),"Bodufolhudhoo, Alif Alif (AA)"
MV008,Alif Uthuru Buri,Feridhoo,Feridhoo,MV008006,Alif Alif (AA),"Feridhoo, Alif Alif (AA)"
MV008,Alif Uthuru Buri,Himandhoo,Himendhoo,MV008008,Alif Alif (AA),"Himandhoo, Alif Alif (AA)"
MV008,Alif Uthuru Buri,Maalhoss,NA,MV008007,Alif Alif (AA),"Maalhoss, Alif Alif (AA)"
MV008,Alif Uthuru Buri,Mathiveri,Mathiveri,MV008004,Alif Alif (AA),"Mathiveri, Alif Alif (AA)"
MV008,Alif Uthuru Buri,Rasdhoo,Rasdhoo,MV008002,Alif Alif (AA),"Rasdhoo, Alif Alif (AA)"
MV008,Alif Uthuru Buri,Thoddoo,Thoddoo,MV008001,Alif Alif (AA),"Thoddoo, Alif Alif (AA)"
MV008,Alif Uthuru Buri,Ukulhas,Ukulhas,MV008003,Alif Alif (AA),"Ukulhas, Alif Alif (AA)"
MV009,Kaafu Atoll,Dhiffushi,Dhiffushi,MV009003,Kaafu Atoll,"Dhiffushi, Kaafu Atoll"
MV009,Kaafu Atoll,Gaafaru,Gaafaru,MV009002,Kaafu Atoll,"Gaafaru, Kaafu Atoll"
MV009,Kaafu Atoll,Gulhi,Gulhi,MV009007,Kaafu Atoll,"Gulhi, Kaafu Atoll"
MV009,Kaafu Atoll,Guraidhoo,Guraidhoo,MV009009,Kaafu Atoll,"Guraidhoo, Kaafu Atoll"
MV009,Kaafu Atoll,Himmafushi,Hinmafushi,MV009006,Kaafu Atoll,"Himmafushi, Kaafu Atoll"
MV009,Kaafu Atoll,Huraa,Huraa,MV009005,Kaafu Atoll,"Huraa, Kaafu Atoll"
MV009,Kaafu Atoll,Kaashidhoo,Kaashidhoo,MV009001,Kaafu Atoll,"Kaashidhoo, Kaafu Atoll"
MV009,Kaafu Atoll,Maafushi,Maafushi,MV009008,Kaafu Atoll,"Maafushi, Kaafu Atoll"
MV009,Kaafu Atoll,Thulusdhoo,Thulusdhoo,MV009004,Kaafu Atoll,"Thulusdhoo, Kaafu Atoll"
MV009,Kaafu Atoll,Aarah,Aarah,MV009012,Kaafu Atoll,"Aarah, Kaafu Atoll"
MV010,Vaavu Atoll,Felidhoo,Felidhoo,MV010003,Vaavu (V),"Felidhoo, Vaavu (V)"
MV010,Vaavu Atoll,Fulidhoo,Fulidhoo,MV010001,Vaavu (V),"Fulidhoo, Vaavu (V)"
MV010,Vaavu Atoll,Keyodhoo,Keyodhoo,MV010004,Vaavu (V),"Keyodhoo, Vaavu (V)"
MV010,Vaavu Atoll,Rakeedhoo,Rakeedhoo,MV010005,Vaavu (V),"Rakeedhoo, Vaavu (V)"
