island,atoll_official,population,concat
Ukulhas,Alif Uthuru Buri,2568,"Ukulhas, Alif Uthuru Buri"
Uligamu,Haa Alif Atoll,800,"Uligamu, Haa Alif Atoll"
Utheemu,Haa Alif Atoll,1224,"Utheemu, Haa Alif Atoll"
Vaadhoo,Gaaf Dhaal Atoll,1032,"Vaadhoo, Gaaf Dhaal Atoll"
Vaadhoo,Raa Atoll,904,"Vaadhoo, Raa Atoll"
Vaikaradhoo,Haa Dhaal Atoll,1552,"Vaikaradhoo, Haa Dhaal Atoll"
Vandhoo,Thaa Atoll,728,"Vandhoo, Thaa Atoll"
Vashafaru,Haa Alif Atoll,952,"Vashafaru, Haa Alif Atoll"
Velidhoo,Noonu Atoll,3664,"Velidhoo, Noonu Atoll"
Veymandoo,Thaa Atoll,2642,"Veymandoo, Thaa Atoll"
Veyvah,Meemu Atoll,608,"Veyvah, Meemu Atoll"
Viligili,Gaaf Alif Atoll,5800,"Viligili, Gaaf Alif Atoll"
Vilufushi,Thaa Atoll,2162,"Vilufushi, Thaa Atoll"
