Timestamp,max_temp_degC,min_temp_degC,mean_temp_degC,mean_humidity_percent,mean_wind_direction_compass,mean_wind_speed_kts,max_wind_direction_compass,max_wind_speed_kts,rainfall_mm,sunshine_hrs
8/19/1990,29.8,22.2,26.8,86,NW,5,SSW,16,6.4,0
8/20/1990,29.7,23,26.4,83,S,5,SW,12,3.1,5.1
8/21/1990,30.4,23.5,27.4,91,SE,6,SSW,13,12.1,1.4
8/22/1990,29.4,22.8,27.3,82,SW,5,SW,11,0,6.3
8/23/1990,29.6,24,27.7,88,CALM,0,SW,7,1.2,4.2
8/24/1990,30.8,22.8,28.7,82,CALM,0,WSW,6,0,9
8/25/1990,30.8,22.6,27.4,81,CALM,0,N,5,0,10.4
8/26/1990,30.8,24,25.1,80,CALM,0,WNW,12,0,10
8/27/1990,31.5,23.8,27.3,76,NW,3,NW,10,0,10.4
8/28/1990,30.8,22.2,27.4,81,SSW,4,SSW,18,14.7,6.5
8/29/1990,27.6,22,27.2,88,W,10,WSW,15,23,0
8/30/1990,30.2,22.4,27.7,79,SSW,7,SSW,8,14.4,8.4
8/31/1990,30.2,24.2,28,80,S,5,S,9,9.1,0.8
9/1/1990,30.4,24.2,27.2,85,CALM,0,E,7,9.1,5.1
9/2/1990,30.6,23.1,27.9,82,CALM,0,S,4,0,7.9
9/3/1990,31,22.4,27.8,77,NNW,6,NNW,7,1.5,11.4
9/4/1990,31.4,23,27.3,84,CALM,0,NNW,6,0,5.4
9/5/1990,30,23,28.6,85,S,5,SW,11,0,8.4
9/6/1990,30.4,24.6,27,82,CALM,0,N,22,0,5.2
9/7/1990,31.2,25,26,89,CALM,0,N,20,0.1,9.8
9/8/1990,31.8,25,26.6,80,ESE,12,NE,22,0.1,7.7
9/9/1990,30.2,25.4,26.9,86,E,6,NNE,11,0.1,3.2
9/10/1990,28.5,23,25.7,89,S,8,SSW,18,0.9,0.5
9/11/1990,28.2,23,27.2,87,SW,10,WNW,14,8.4,0.2
9/12/1990,30,23,28.2,84,SW,9,SSW,30,22.1,2.4
9/13/1990,26.4,21.4,28.6,87,S,6,SW,10,50.2,0
9/14/1990,27.6,21.4,28,82,SSW,10,SSW,30,15.8,1.6
9/15/1990,30.2,26.2,29.2,78,WSW,9,WSW,11,0,9.4
9/16/1990,31,26.6,27.4,80,W,10,W,15,0,9.5
9/17/1990,30.8,25,27.7,82,W,9,SSW,23,2,10.3
9/18/1990,29.8,25,27.5,86,WSW,12,NW,28,2,3.2
9/19/1990,29.8,24.5,27.9,87,W,13,W,35,4.2,7.4
9/20/1990,30.2,24.5,28.2,88,SW,12,SW,25,4.9,8.6
9/21/1990,30.2,23,28.4,88,CALM,0,WNW,6,0,5.3
9/22/1990,30.3,25.8,28.3,86,W,5,W,8,0,10.3
9/23/1990,30.8,24.4,27.7,84,WSW,5,WSW,9,0,10.4
9/24/1990,30.8,26.4,28,83,WSW,12,W,16,0,10.6
9/25/1990,31.2,25.4,28.4,84,SW,10,SW,12,0,9.2
9/26/1990,31.4,25,28.7,88,SW,7,SW,11,0,6.6
9/27/1990,30.8,25,28.2,79,SW,11,SW,11,0,9.3
9/28/1990,31.3,26.4,28.5,75,WSW,12,SW,13,0,10.7
9/29/1990,29.8,26.4,28.4,73,SW,7,WSW,15,0,10.8
9/30/1990,30.4,25.6,28.3,80,SW,6,NW,15,0,8.6
10/1/1990,30.8,25.6,27.6,79,SW,8,SW,9,0,8.4
10/2/1990,30.8,25.8,27.9,79,WSW,5,SW,10,0,10.8
10/3/1990,31.4,24.5,25.8,83,WSW,7,NW,13,5.2,11
10/4/1990,30.3,24.6,25.9,85,W,9,SW,15,0,8.2
10/5/1990,30.4,24.6,24.8,84,WSW,9,WSW,19,14.5,10.2
10/6/1990,28.2,23.2,27.4,92,SW,5,S,12,43.1,0
