Atoll,island,atoll_official,indicator_full,value,sex_modifier,population_modifier,indicator,indicator2,value2
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population (%) Child Population (0-17 yrs),40.30710172744721,NA,Resident Maldivians, (%) Child Population (0-17 yrs), (%) Child Population (0-17 yrs),40.30710172744721
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population (%) Child Population (International) (0-14 yrs),35.956493921944976,NA,Resident Maldivians, (%) Child Population (International) (0-14 yrs), (%) Child Population (International) (0-14 yrs),35.956493921944976
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population (%) Adolescent Population (International) (10-19 yrs),19.033909149072297,NA,Resident Maldivians, (%) Adolescent Population (International) (10-19 yrs), (%) Adolescent Population (International) (10-19 yrs),19.033909149072297
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population (%) Working Age Population (15-64 yrs),58.157389635316704,NA,Resident Maldivians, (%) Working Age Population (15-64 yrs), (%) Working Age Population (15-64 yrs),58.157389635316704
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population (%) Youth Population (International) (15-24 yrs),9.0850927703135,NA,Resident Maldivians, (%) Youth Population (International) (15-24 yrs), (%) Youth Population (International) (15-24 yrs),9.0850927703135
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population (%) Youth Population (National) (18-35 yrs),23.86436340371081,NA,Resident Maldivians, (%) Youth Population (National) (18-35 yrs), (%) Youth Population (National) (18-35 yrs),23.86436340371081
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population (%) Elderly Population  (65+ yrs),5.886116442738324,NA,Resident Maldivians, (%) Elderly Population  (65+ yrs), (%) Elderly Population  (65+ yrs),5.886116442738324
HA,Dhidhdhoo,Haa Alif Atoll,Area (in hectare),96.542888,NA,NA,Area (in hectare),Area (in hectare),96.542888
HA,Dhidhdhoo,Haa Alif Atoll,Area (in sq km),0.96542888,NA,NA,Area (in sq km),Area (in sq km),0.96542888
HA,Dhidhdhoo,Haa Alif Atoll,Population density Resident Maldivian Population,3237.9391840857297,NA,Resident Maldivians,Population density ,Population density ,3237.9391840857297
HA,Dhidhdhoo,Haa Alif Atoll,Median Age Resident Maldivians,29,NA,Resident Maldivians,Median Age Resident Maldivians,Median Age Resident Maldivians,29
HA,Filladhoo,Haa Alif Atoll,Resident Maldivians Population Both sexes,529,Both sexes,Resident Maldivians,Resident Maldivians Population Both sexes,Resident Maldivians Population Both sexes,529
HA,Filladhoo,Haa Alif Atoll,Growth Rate (for Resident Maldivian Population - 2014 to 2022),-0.7573644309811223,NA,Resident Maldivians,Growth Rate (for  - 2014 to 2022),Growth Rate (for  - 2014 to 2022),-0.7573644309811223
HA,Filladhoo,Haa Alif Atoll,Resident Foreigners (%) (out of resident Population),5.366726296958855,NA,NA,Resident Foreigners (%) (out of resident Population),Resident Foreigners (%) (out of resident Population),5.366726296958855
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Sex Ratio (males per 100 female),89.6057347670251,NA,Resident Maldivians, 2022 Sex Ratio (males per 100 female), 2022 Sex Ratio (males per 100 female),89.6057347670251
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Dependency Ratio,54.67836257309941,NA,Resident Maldivians, 2022 Dependency Ratio, 2022 Dependency Ratio,54.67836257309941
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Dependency Ratio,41.52046783625731,NA,Resident Maldivians, 2022 Child Dependency Ratio, 2022 Child Dependency Ratio,41.52046783625731
HA,Filladhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Aged-Dependency Ratio,13.157894736842104,NA,Resident Maldivians, 2022 Aged-Dependency Ratio, 2022 Aged-Dependency Ratio,13.157894736842104
