indicator,island,atoll_official,atoll_local_names,population,value,value2,indicator2
Labour force participation rate (%),Alifushi,Raa Atoll,Raa (R),Maldivians,56.2753036437247,56.2753036437247,Labour force participation rate (%)
Labour force participation rate (%),Baarah,Haa Alif Atoll,Haa Alif (HA),Maldivians,52.2857142857142,52.2857142857142,Labour force participation rate (%)
Labour force participation rate (%),Badidhoo,Dhaal Atoll,Dhaalu (Dh),Maldivians,65.3179190751445,65.3179190751445,Labour force participation rate (%)
Labour force participation rate (%),Biledhdhoo,Faafu Atoll,Faafu (F),Maldivians,59.927797833935,59.927797833935,Labour force participation rate (%)
Labour force participation rate (%),Bilehffahi,Shaviyani Atoll,Shaviyani (Sh),Maldivians,67.4121405750798,67.4121405750798,Labour force participation rate (%)
Labour force participation rate (%),Bodufolhudhoo,Alif Uthuru Buri,Alif Alif (AA),Maldivians,65.137614678899,65.137614678899,Labour force participation rate (%)
Labour force participation rate (%),Buruni,Thaa Atoll,Thaa (Th),Maldivians,75.3246753246753,75.3246753246753,Labour force participation rate (%)
Labour force participation rate (%),Dhaandhoo,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,49.6865203761755,49.6865203761755,Labour force participation rate (%)
Labour force participation rate (%),Dhabidhoo,Laamu Atoll,Laamu (L),Maldivians,53.7275064267352,53.7275064267352,Labour force participation rate (%)
Labour force participation rate (%),Dhangethi,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,71.7213114754098,71.7213114754098,Labour force participation rate (%)
Labour force participation rate (%),Dharaboodhoo,Faafu Atoll,Faafu (F),Maldivians,66.4,66.4,Labour force participation rate (%)
Labour force participation rate (%),Dharavandhoo,Baa Atoll,Baa (B),Maldivians,69.0812720848056,69.0812720848056,Labour force participation rate (%)
Labour force participation rate (%),Dhevvadhoo,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,60.2305475504322,60.2305475504322,Labour force participation rate (%)
Labour force participation rate (%),Dhidhdhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,80,80,Labour force participation rate (%)
Labour force participation rate (%),Dhidhdhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,48.7512487512487,48.7512487512487,Labour force participation rate (%)
Labour force participation rate (%),Dhiffushi,Kaafu Atoll,Kaafu (K),Maldivians,58.8483146067415,58.8483146067415,Labour force participation rate (%)
Labour force participation rate (%),Dhiggaru,Meemu Atoll,Meemu (M),Maldivians,58.1120943952802,58.1120943952802,Labour force participation rate (%)
Labour force participation rate (%),Dhigurah,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,74.3842364532019,74.3842364532019,Labour force participation rate (%)
Labour force participation rate (%),Dhiyamigili,Thaa Atoll,Thaa (Th),Maldivians,58.3113456464379,58.3113456464379,Labour force participation rate (%)
Labour force participation rate (%),Dhonfanu,Baa Atoll,Baa (B),Maldivians,59.3869731800766,59.3869731800766,Labour force participation rate (%)
Labour force participation rate (%),Dhuvaafaru,Raa Atoll,Raa (R),Maldivians,48.0580252690687,48.0580252690687,Labour force participation rate (%)
Labour force participation rate (%),Eydhafushi,Baa Atoll,Baa (B),Maldivians,51.0572139303482,51.0572139303482,Labour force participation rate (%)
Labour force participation rate (%),Fainu,Raa Atoll,Raa (R),Maldivians,63.5036496350364,63.5036496350364,Labour force participation rate (%)
Labour force participation rate (%),Fares-Maathodaa,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,52.1739130434782,52.1739130434782,Labour force participation rate (%)
Labour force participation rate (%),Feeali,Faafu Atoll,Faafu (F),Maldivians,50.886524822695,50.886524822695,Labour force participation rate (%)
Labour force participation rate (%),Feevah,Shaviyani Atoll,Shaviyani (Sh),Maldivians,66.4319248826291,66.4319248826291,Labour force participation rate (%)
Labour force participation rate (%),Fehendhoo,Baa Atoll,Baa (B),Maldivians,71.6535433070866,71.6535433070866,Labour force participation rate (%)
Labour force participation rate (%),Felidhoo,Vaavu Atoll,Vaavu (V),Maldivians,73.9130434782608,73.9130434782608,Labour force participation rate (%)
Labour force participation rate (%),Fenfushi,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,54.3824701195219,54.3824701195219,Labour force participation rate (%)
Labour force participation rate (%),Feridhoo,Alif Uthuru Buri,Alif Alif (AA),Maldivians,69.6428571428571,69.6428571428571,Labour force participation rate (%)
Labour force participation rate (%),Feydhoo,Seenu Atoll,Addu (S),Maldivians,52.8921998247151,52.8921998247151,Labour force participation rate (%)
Labour force participation rate (%),Feydhoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,55.2182163187855,55.2182163187855,Labour force participation rate (%)
Labour force participation rate (%),Filladhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,69.250645994832,69.250645994832,Labour force participation rate (%)
Labour force participation rate (%),Finey,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,67.4329501915708,67.4329501915708,Labour force participation rate (%)
Labour force participation rate (%),Fiyoari,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,54.8648648648648,54.8648648648648,Labour force participation rate (%)
Labour force participation rate (%),Foakaidhoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,49.8936170212766,49.8936170212766,Labour force participation rate (%)
Labour force participation rate (%),Fodhdhoo,Noonu Atoll,Noonu (N),Maldivians,54.5893719806763,54.5893719806763,Labour force participation rate (%)
Labour force participation rate (%),Fonadhoo,Laamu Atoll,Laamu (L),Maldivians,58.2635983263598,58.2635983263598,Labour force participation rate (%)
Labour force participation rate (%),Fulhadhoo,Baa Atoll,Baa (B),Maldivians,83.2402234636871,83.2402234636871,Labour force participation rate (%)
Labour force participation rate (%),Fulidhoo,Vaavu Atoll,Vaavu (V),Maldivians,73.1818181818181,73.1818181818181,Labour force participation rate (%)
Labour force participation rate (%),Funadhoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,62.6154939587775,62.6154939587775,Labour force participation rate (%)
Labour force participation rate (%),Fuvahmulah,Gnaviyani Atoll,Gnaviyani (Gn),Maldivians,54.5683907010272,54.5683907010272,Labour force participation rate (%)
Labour force participation rate (%),Gaadhiffushi,Thaa Atoll,Thaa (Th),Maldivians,68.4210526315789,68.4210526315789,Labour force participation rate (%)
Labour force participation rate (%),Gaafaru,Kaafu Atoll,Kaafu (K),Maldivians,56.1007957559681,56.1007957559681,Labour force participation rate (%)
Labour force participation rate (%),Gadhdhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,64.0711902113459,64.0711902113459,Labour force participation rate (%)
Labour force participation rate (%),Gamu,Laamu Atoll,Laamu (L),Maldivians,59.0227010388611,59.0227010388611,Labour force participation rate (%)
Labour force participation rate (%),Gemanafushi,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,56.6539923954372,56.6539923954372,Labour force participation rate (%)
Labour force participation rate (%),Goidhoo,Baa Atoll,Baa (B),Maldivians,61.9047619047619,61.9047619047619,Labour force participation rate (%)
Labour force participation rate (%),Goidhoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,55.0135501355013,55.0135501355013,Labour force participation rate (%)
Labour force participation rate (%),Gulhi,Kaafu Atoll,Kaafu (K),Maldivians,68.5567010309278,68.5567010309278,Labour force participation rate (%)
Labour force participation rate (%),Guraidhoo,Kaafu Atoll,Kaafu (K),Maldivians,54.6712802768166,54.6712802768166,Labour force participation rate (%)
Labour force participation rate (%),Guraidhoo,Thaa Atoll,Thaa (Th),Maldivians,63.0996309963099,63.0996309963099,Labour force participation rate (%)
Labour force participation rate (%),Hanghghaameedhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,73.851590106007,73.851590106007,Labour force participation rate (%)
Labour force participation rate (%),Hanimaadhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,56.0640732265446,56.0640732265446,Labour force participation rate (%)
Labour force participation rate (%),Hebadhoo,Noonu Atoll,Noonu (N),Maldivians,68.5567010309278,68.5567010309278,Labour force participation rate (%)
Labour force participation rate (%),Himandhoo,Alif Uthuru Buri,Alif Alif (AA),Maldivians,71.2788259958071,71.2788259958071,Labour force participation rate (%)
Labour force participation rate (%),Himmafushi,Kaafu Atoll,Kaafu (K),Maldivians,58.6235489220563,58.6235489220563,Labour force participation rate (%)
Labour force participation rate (%),Hinnavaru,Lhaviyani Atoll,Lhaviyani (Lh),Maldivians,55.8534990189666,55.8534990189666,Labour force participation rate (%)
Labour force participation rate (%),Hirilandhoo,Thaa Atoll,Thaa (Th),Maldivians,61.4206128133704,61.4206128133704,Labour force participation rate (%)
Labour force participation rate (%),Hirimaradhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,64.1414141414141,64.1414141414141,Labour force participation rate (%)
Labour force participation rate (%),Hithaadhoo,Baa Atoll,Baa (B),Maldivians,56.7441860465116,56.7441860465116,Labour force participation rate (%)
Labour force participation rate (%),Hithadhoo,Laamu Atoll,Laamu (L),Maldivians,58.8075880758807,58.8075880758807,Labour force participation rate (%)
Labour force participation rate (%),Hithadhoo,Seenu Atoll,Addu (S),Maldivians,52.1072796934865,52.1072796934865,Labour force participation rate (%)
Labour force participation rate (%),Hoadedhdhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,63.4980988593155,63.4980988593155,Labour force participation rate (%)
Labour force participation rate (%),Hoarafushi,Haa Alif Atoll,Haa Alif (HA),Maldivians,54.9137931034482,54.9137931034482,Labour force participation rate (%)
Labour force participation rate (%),Holhudhoo,Noonu Atoll,Noonu (N),Maldivians,56.1403508771929,56.1403508771929,Labour force participation rate (%)
Labour force participation rate (%),Hulhudheli,Dhaal Atoll,Dhaalu (Dh),Maldivians,73.4475374732334,73.4475374732334,Labour force participation rate (%)
Labour force participation rate (%),Hulhudhoo,Seenu Atoll,Addu (S),Maldivians,51.3444302176696,51.3444302176696,Labour force participation rate (%)
Labour force participation rate (%),Hulhudhuffaaru,Raa Atoll,Raa (R),Maldivians,51.1538461538461,51.1538461538461,Labour force participation rate (%)
Labour force participation rate (%),Huraa,Kaafu Atoll,Kaafu (K),Maldivians,70.2637889688249,70.2637889688249,Labour force participation rate (%)
Labour force participation rate (%),Iguraidhoo,Raa Atoll,Raa (R),Maldivians,56.2268803945745,56.2268803945745,Labour force participation rate (%)
Labour force participation rate (%),Ihavandhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,50.4938988959907,50.4938988959907,Labour force participation rate (%)
Labour force participation rate (%),Innamaadhoo,Raa Atoll,Raa (R),Maldivians,63.8888888888888,63.8888888888888,Labour force participation rate (%)
Labour force participation rate (%),Isdhoo,Laamu Atoll,Laamu (L),Maldivians,56.0477001703577,56.0477001703577,Labour force participation rate (%)
Labour force participation rate (%),Kaashidhoo,Kaafu Atoll,Kaafu (K),Maldivians,62.760834670947,62.760834670947,Labour force participation rate (%)
Labour force participation rate (%),Kaditheemu,Shaviyani Atoll,Shaviyani (Sh),Maldivians,60.6100795755968,60.6100795755968,Labour force participation rate (%)
Labour force participation rate (%),Kadoodhoo,Thaa Atoll,Thaa (Th),Maldivians,67.1875,67.1875,Labour force participation rate (%)
Labour force participation rate (%),Kalhaidhoo,Laamu Atoll,Laamu (L),Maldivians,61.1528822055137,61.1528822055137,Labour force participation rate (%)
Labour force participation rate (%),Kamadhoo,Baa Atoll,Baa (B),Maldivians,64.4,64.4,Labour force participation rate (%)
Labour force participation rate (%),Kanduhulhudhoo,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,67.3130193905817,67.3130193905817,Labour force participation rate (%)
Labour force participation rate (%),Kedhikolhudhoo,Noonu Atoll,Noonu (N),Maldivians,66.4263645726055,66.4263645726055,Labour force participation rate (%)
Labour force participation rate (%),Kelaa,Haa Alif Atoll,Haa Alif (HA),Maldivians,64.7845468053491,64.7845468053491,Labour force participation rate (%)
Labour force participation rate (%),Kendhoo,Baa Atoll,Baa (B),Maldivians,71.7391304347826,71.7391304347826,Labour force participation rate (%)
Labour force participation rate (%),Keyodhoo,Vaavu Atoll,Vaavu (V),Maldivians,61.0795454545454,61.0795454545454,Labour force participation rate (%)
Labour force participation rate (%),Kibidhoo,Thaa Atoll,Thaa (Th),Maldivians,63.6563876651982,63.6563876651982,Labour force participation rate (%)
Labour force participation rate (%),Kihaadhoo,Baa Atoll,Baa (B),Maldivians,69.7986577181208,69.7986577181208,Labour force participation rate (%)
Labour force participation rate (%),Kinolhas,Raa Atoll,Raa (R),Maldivians,71.9242902208201,71.9242902208201,Labour force participation rate (%)
Labour force participation rate (%),Kodey,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,59.8958333333333,59.8958333333333,Labour force participation rate (%)
Labour force participation rate (%),Kolamaafushi,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,56.8877551020408,56.8877551020408,Labour force participation rate (%)
Labour force participation rate (%),Kolhufushi,Meemu Atoll,Meemu (M),Maldivians,60.9856262833675,60.9856262833675,Labour force participation rate (%)
Labour force participation rate (%),Komandoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,56.0530679933665,56.0530679933665,Labour force participation rate (%)
Labour force participation rate (%),Kuburudhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,63.14448692367445,63.14448692367445,Labour force participation rate (%)
Labour force participation rate (%),Kudafari,Noonu Atoll,Noonu (N),Maldivians,70.9859154929577,70.9859154929577,Labour force participation rate (%)
Labour force participation rate (%),Kudahuvadhoo,Dhaal Atoll,Dhaalu (Dh),Maldivians,61.8392070484581,61.8392070484581,Labour force participation rate (%)
Labour force participation rate (%),Kudarikilu,Baa Atoll,Baa (B),Maldivians,65.7980456026058,65.7980456026058,Labour force participation rate (%)
Labour force participation rate (%),Kulhudhuffushi,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,54.1180233487925,54.1180233487925,Labour force participation rate (%)
Labour force participation rate (%),Kumundhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,45.1951951951951,45.1951951951951,Labour force participation rate (%)
Labour force participation rate (%),Kunahandhoo,Laamu Atoll,Laamu (L),Maldivians,64.0198511166253,64.0198511166253,Labour force participation rate (%)
Labour force participation rate (%),Kurendhoo,Lhaviyani Atoll,Lhaviyani (Lh),Maldivians,45.5431754874651,45.5431754874651,Labour force participation rate (%)
Labour force participation rate (%),Kurinbi,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,64.3076923076923,64.3076923076923,Labour force participation rate (%)
Labour force participation rate (%),Landhoo,Noonu Atoll,Noonu (N),Maldivians,68.5267857142857,68.5267857142857,Labour force participation rate (%)
Labour force participation rate (%),Lhaimagu,Shaviyani Atoll,Shaviyani (Sh),Maldivians,57.5596816976127,57.5596816976127,Labour force participation rate (%)
Labour force participation rate (%),Lhohi,Noonu Atoll,Noonu (N),Maldivians,58.6633663366336,58.6633663366336,Labour force participation rate (%)
Labour force participation rate (%),Maabaidhoo,Laamu Atoll,Laamu (L),Maldivians,61.0062893081761,61.0062893081761,Labour force participation rate (%)
Labour force participation rate (%),Maaeboodhoo,Dhaal Atoll,Dhaalu (Dh),Maldivians,64.5299145299145,64.5299145299145,Labour force participation rate (%)
Labour force participation rate (%),Maafaru,Noonu Atoll,Noonu (N),Maldivians,65.8333333333333,65.8333333333333,Labour force participation rate (%)
Labour force participation rate (%),Maafushi,Kaafu Atoll,Kaafu (K),Maldivians,63.0035197497066,63.0035197497066,Labour force participation rate (%)
Labour force participation rate (%),Maakurathu,Raa Atoll,Raa (R),Maldivians,60.1328903654485,60.1328903654485,Labour force participation rate (%)
Labour force participation rate (%),Maalhendhoo,Noonu Atoll,Noonu (N),Maldivians,55.4809843400447,55.4809843400447,Labour force participation rate (%)
Labour force participation rate (%),Maalhos,Baa Atoll,Baa (B),Maldivians,76.9716088328075,76.9716088328075,Labour force participation rate (%)
Labour force participation rate (%),Maalhoss,Alif Uthuru Buri,Alif Alif (AA),Maldivians,72.8624535315985,72.8624535315985,Labour force participation rate (%)
Labour force participation rate (%),Maamendhoo,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,55.045871559633,55.045871559633,Labour force participation rate (%)
Labour force participation rate (%),Maamendhoo,Laamu Atoll,Laamu (L),Maldivians,65.7039711191335,65.7039711191335,Labour force participation rate (%)
Labour force participation rate (%),Maarandhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,50.502512562814,50.502512562814,Labour force participation rate (%)
Labour force participation rate (%),Maaugoodhoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,62.8058727569331,62.8058727569331,Labour force participation rate (%)
Labour force participation rate (%),Maavah,Laamu Atoll,Laamu (L),Maldivians,52.6258205689277,52.6258205689277,Labour force participation rate (%)
Labour force participation rate (%),Madeveli,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,47.914032869785,47.914032869785,Labour force participation rate (%)
Labour force participation rate (%),Madifushi,Thaa Atoll,Thaa (Th),Maldivians,66.8615984405458,66.8615984405458,Labour force participation rate (%)
Labour force participation rate (%),Maduvvari,Meemu Atoll,Meemu (M),Maldivians,64.5502645502645,64.5502645502645,Labour force participation rate (%)
Labour force participation rate (%),Maduvvari,Raa Atoll,Raa (R),Maldivians,55.9090909090909,55.9090909090909,Labour force participation rate (%)
Labour force participation rate (%),Magoodhoo,Faafu Atoll,Faafu (F),Maldivians,66.6666666666666,66.6666666666666,Labour force participation rate (%)
Labour force participation rate (%),Magoodhoo,Noonu Atoll,Noonu (N),Maldivians,73.076923076923,73.076923076923,Labour force participation rate (%)
Labour force participation rate (%),Mahibadhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,63.0239520958083,63.0239520958083,Labour force participation rate (%)
Labour force participation rate (%),Makunudhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,57.5679172056921,57.5679172056921,Labour force participation rate (%)
Labour force participation rate (%),Manadhoo,Noonu Atoll,Noonu (N),Maldivians,66.1401776900296,66.1401776900296,Labour force participation rate (%)
Labour force participation rate (%),Mandhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,76.2790697674418,76.2790697674418,Labour force participation rate (%)
Labour force participation rate (%),Maradhoo,Seenu Atoll,Addu (S),Maldivians,50.8400746733042,50.8400746733042,Labour force participation rate (%)
Labour force participation rate (%),Maradhoo-Feydhoo,Seenu Atoll,Addu (S),Maldivians,56.2775330396475,56.2775330396475,Labour force participation rate (%)
Labour force participation rate (%),Maroshi,Shaviyani Atoll,Shaviyani (Sh),Maldivians,59.6026490066225,59.6026490066225,Labour force participation rate (%)
Labour force participation rate (%),Mathiveri,Alif Uthuru Buri,Alif Alif (AA),Maldivians,70.3557312252964,70.3557312252964,Labour force participation rate (%)
Labour force participation rate (%),Meedhoo,Dhaal Atoll,Dhaalu (Dh),Maldivians,64.2857142857142,64.2857142857142,Labour force participation rate (%)
Labour force participation rate (%),Meedhoo,Raa Atoll,Raa (R),Maldivians,59.2169657422512,59.2169657422512,Labour force participation rate (%)
Labour force participation rate (%),Meedhoo,Seenu Atoll,Addu (S),Maldivians,51.5128006206361,51.5128006206361,Labour force participation rate (%)
Labour force participation rate (%),Miladhoo,Noonu Atoll,Noonu (N),Maldivians,44.8154657293497,44.8154657293497,Labour force participation rate (%)
Labour force participation rate (%),Milandhoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,55.5555555555555,55.5555555555555,Labour force participation rate (%)
Labour force participation rate (%),Mulah,Meemu Atoll,Meemu (M),Maldivians,66.2597114317425,66.2597114317425,Labour force participation rate (%)
Labour force participation rate (%),Mulhadhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,78.0898876404494,78.0898876404494,Labour force participation rate (%)
Labour force participation rate (%),Muli,Meemu Atoll,Meemu (M),Maldivians,70.8185053380783,70.8185053380783,Labour force participation rate (%)
Labour force participation rate (%),Mundhoo,Laamu Atoll,Laamu (L),Maldivians,77,77,Labour force participation rate (%)
Labour force participation rate (%),Muraidhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,56.9999999999999,56.9999999999999,Labour force participation rate (%)
Labour force participation rate (%),Naalaafushi,Meemu Atoll,Meemu (M),Maldivians,68.6619718309859,68.6619718309859,Labour force participation rate (%)
Labour force participation rate (%),Nadallaa,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,43.4782608695652,43.4782608695652,Labour force participation rate (%)
Labour force participation rate (%),Naifaru,Lhaviyani Atoll,Lhaviyani (Lh),Maldivians,57.9573277369709,57.9573277369709,Labour force participation rate (%)
Labour force participation rate (%),Naivaadhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,61.1888111888111,61.1888111888111,Labour force participation rate (%)
Labour force participation rate (%),Narudhoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,55.8073654390934,55.8073654390934,Labour force participation rate (%)
Labour force participation rate (%),Nellaidhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,62.4420401854714,62.4420401854714,Labour force participation rate (%)
Labour force participation rate (%),Neykurendhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,66.3185378590078,66.3185378590078,Labour force participation rate (%)
Labour force participation rate (%),Nilandhoo,Faafu Atoll,Faafu (F),Maldivians,64.4067796610169,64.4067796610169,Labour force participation rate (%)
Labour force participation rate (%),Nilandhoo,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,66.3888888888888,66.3888888888888,Labour force participation rate (%)
Labour force participation rate (%),Nolhivaram,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,47.2434266327396,47.2434266327396,Labour force participation rate (%)
Labour force participation rate (%),Nolhivaramfaru,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,60.2108036890645,60.2108036890645,Labour force participation rate (%)
Labour force participation rate (%),Noomaraa,Shaviyani Atoll,Shaviyani (Sh),Maldivians,57.7092511013215,57.7092511013215,Labour force participation rate (%)
Labour force participation rate (%),Olhuvelifushi,Lhaviyani Atoll,Lhaviyani (Lh),Maldivians,56.9196428571428,56.9196428571428,Labour force participation rate (%)
Labour force participation rate (%),Omadhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,40.2573529411764,40.2573529411764,Labour force participation rate (%)
Labour force participation rate (%),Omadhoo,Thaa Atoll,Thaa (Th),Maldivians,62.4548736462093,62.4548736462093,Labour force participation rate (%)
Labour force participation rate (%),Raimandhoo,Meemu Atoll,Meemu (M),Maldivians,65.6862745098039,65.6862745098039,Labour force participation rate (%)
Labour force participation rate (%),Rakeedhoo,Vaavu Atoll,Vaavu (V),Maldivians,74.1379310344827,74.1379310344827,Labour force participation rate (%)
Labour force participation rate (%),Rasdhoo,Alif Uthuru Buri,Alif Alif (AA),Maldivians,62.1271076523994,62.1271076523994,Labour force participation rate (%)
Labour force participation rate (%),Rasgetheemu,Raa Atoll,Raa (R),Maldivians,52.2658610271903,52.2658610271903,Labour force participation rate (%)
Labour force participation rate (%),Rasmaadhoo,Raa Atoll,Raa (R),Maldivians,67.6300578034682,67.6300578034682,Labour force participation rate (%)
Labour force participation rate (%),Rathafandhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,46.4539007092198,46.4539007092198,Labour force participation rate (%)
Labour force participation rate (%),Ribudhoo,Dhaal Atoll,Dhaalu (Dh),Maldivians,67.0157068062827,67.0157068062827,Labour force participation rate (%)
Labour force participation rate (%),Thakandhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,61.8090452261306,61.8090452261306,Labour force participation rate (%)
Labour force participation rate (%),Thimarafushi,Thaa Atoll,Thaa (Th),Maldivians,59.1352859135285,59.1352859135285,Labour force participation rate (%)
Labour force participation rate (%),Thinadhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,52.0490660719264,52.0490660719264,Labour force participation rate (%)
Labour force participation rate (%),Thinadhoo,Vaavu Atoll,Vaavu (V),Maldivians,77.9411764705882,77.9411764705882,Labour force participation rate (%)
Labour force participation rate (%),Thoddoo,Alif Uthuru Buri,Alif Alif (AA),Maldivians,56.00756859035,56.00756859035,Labour force participation rate (%)
Labour force participation rate (%),Thulhaadhoo,Baa Atoll,Baa (B),Maldivians,50.7204610951008,50.7204610951008,Labour force participation rate (%)
Labour force participation rate (%),Thulusdhoo,Kaafu Atoll,Kaafu (K),Maldivians,69.7368421052631,69.7368421052631,Labour force participation rate (%)
Labour force participation rate (%),Thurakunu,Haa Alif Atoll,Haa Alif (HA),Maldivians,54.225352112676,54.225352112676,Labour force participation rate (%)
Labour force participation rate (%),Ugoofaaru,Raa Atoll,Raa (R),Maldivians,59.9616858237547,59.9616858237547,Labour force participation rate (%)
Labour force participation rate (%),Ukulhas,Alif Uthuru Buri,Alif Alif (AA),Maldivians,67.0676691729323,67.0676691729323,Labour force participation rate (%)
Labour force participation rate (%),Uligamu,Haa Alif Atoll,Haa Alif (HA),Maldivians,49.0118577075098,49.0118577075098,Labour force participation rate (%)
Labour force participation rate (%),Utheemu,Haa Alif Atoll,Haa Alif (HA),Maldivians,57.4803149606299,57.4803149606299,Labour force participation rate (%)
Labour force participation rate (%),Vaadhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,68.169014084507,68.169014084507,Labour force participation rate (%)
Labour force participation rate (%),Vaadhoo,Raa Atoll,Raa (R),Maldivians,61.3013698630137,61.3013698630137,Labour force participation rate (%)
Labour force participation rate (%),Vaikaradhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,54.18410041841,54.18410041841,Labour force participation rate (%)
Labour force participation rate (%),Vandhoo,Thaa Atoll,Thaa (Th),Maldivians,69.6428571428571,69.6428571428571,Labour force participation rate (%)
Labour force participation rate (%),Vashafaru,Haa Alif Atoll,Haa Alif (HA),Maldivians,60.2836879432624,60.2836879432624,Labour force participation rate (%)
Labour force participation rate (%),Velidhoo,Noonu Atoll,Noonu (N),Maldivians,56.4285714285714,56.4285714285714,Labour force participation rate (%)
Labour force participation rate (%),Veymandoo,Thaa Atoll,Thaa (Th),Maldivians,66.0377358490566,66.0377358490566,Labour force participation rate (%)
Labour force participation rate (%),Veyvah,Meemu Atoll,Meemu (M),Maldivians,82.6086956521739,82.6086956521739,Labour force participation rate (%)
Labour force participation rate (%),Viligili,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,58.8433464345873,58.8433464345873,Labour force participation rate (%)
Labour force participation rate (%),Vilufushi,Thaa Atoll,Thaa (Th),Maldivians,58.179012345679,58.179012345679,Labour force participation rate (%)
NEET rate (15-24 years) (%),Agolhitheemu,Raa Atoll,Raa (R),Maldivians,12.5,12.5,NEET rate (15-24 years) (%)
NEET rate (15-24 years) (%),Alifushi,Raa Atoll,Raa (R),Maldivians,21.7105263157894,21.7105263157894,NEET rate (15-24 years) (%)
NEET rate (15-24 years) (%),Baarah,Haa Alif Atoll,Haa Alif (HA),Maldivians,29.5652173913043,29.5652173913043,NEET rate (15-24 years) (%)
NEET rate (15-24 years) (%),Badidhoo,Dhaal Atoll,Dhaalu (Dh),Maldivians,28.3333333333333,28.3333333333333,NEET rate (15-24 years) (%)
NEET rate (15-24 years) (%),Biledhdhoo,Faafu Atoll,Faafu (F),Maldivians,16.4556962025316,16.4556962025316,NEET rate (15-24 years) (%)
NEET rate (15-24 years) (%),Bilehffahi,Shaviyani Atoll,Shaviyani (Sh),Maldivians,22.5806451612903,22.5806451612903,NEET rate (15-24 years) (%)
NEET rate (15-24 years) (%),Bodufolhudhoo,Alif Uthuru Buri,Alif Alif (AA),Maldivians,23.076923076923,23.076923076923,NEET rate (15-24 years) (%)
NEET rate (15-24 years) (%),Buruni,Thaa Atoll,Thaa (Th),Maldivians,25,25,NEET rate (15-24 years) (%)
