dataset,indicator,island,atoll_official,atoll_local_names,sort1,value,sort_order,administration,population,min,max,normalized_value,administration_level,range01
Population,Population,Gulhi,Kaafu Atoll,Kaafu Atoll,10,976,10,Administrative Islands,Resident Population,0,52482,3.5545347826723015,admin3,0.017173606075640193
Population,Population,Guraidhoo,Kaafu Atoll,Kaafu Atoll,10,1743,10,Administrative Islands,Resident Population,0,52482,6.329684252206156,admin3,0.031809334808991334
Population,Population,Himmafushi,Kaafu Atoll,Kaafu Atoll,10,2012,10,Administrative Islands,Resident Population,0,52482,7.3029765694220705,admin3,0.03694233484715491
Population,Population,Huraa,Kaafu Atoll,Kaafu Atoll,10,1654,10,Administrative Islands,Resident Population,0,52482,6.007665604502749,admin3,0.030111055985955808
Population,Population,Kaashidhoo,Kaafu Atoll,Kaafu Atoll,10,2528,10,Administrative Islands,Resident Population,0,52482,9.16996108869126,admin3,0.04678853566385528
Population,Population,Maafushi,Kaafu Atoll,Kaafu Atoll,10,4471,10,Administrative Islands,Resident Population,0,52482,16.200098532373502,admin3,0.08386444300270961
Population,Population,Thulusdhoo,Kaafu Atoll,Kaafu Atoll,10,1801,10,Administrative Islands,Resident Population,0,52482,6.539539101271298,admin3,0.032916078311643705
Population,Population,Bodufolhudhoo,Alif Uthuru Buri,Alif Alif (AA),9,704,9,Administrative Islands,Resident Population,0,52482,2.570387904297845,admin3,0.011983360683891157
Population,Population,Feridhoo,Alif Uthuru Buri,Alif Alif (AA),9,544,9,Administrative Islands,Resident Population,0,52482,1.9914779758422823,admin3,0.0089302751593329
Population,Population,Himendhoo,Alif Uthuru Buri,Alif Alif (AA),9,885,9,Administrative Islands,Resident Population,0,52482,3.2252797608632005,admin3,0.015437163683547686
Population,Population,Maalhoss,Alif Uthuru Buri,Alif Alif (AA),9,516,9,Administrative Islands,Resident Population,0,52482,1.8901687383625587,admin3,0.008395985192535206
Population,Population,Mathiveri,Alif Uthuru Buri,Alif Alif (AA),9,878,9,Administrative Islands,Resident Population,0,52482,3.19995245149327,admin3,0.015303591191848261
Population,Population,Rasdhoo,Alif Uthuru Buri,Alif Alif (AA),9,1282,9,Administrative Islands,Resident Population,0,52482,4.661700020843566,admin3,0.02301263214135786
Population,Population,Thoddoo,Alif Uthuru Buri,Alif Alif (AA),9,1924,9,Administrative Islands,Resident Population,0,52482,6.9845761087715115,admin3,0.035263137808647864
Population,Population,Ukulhas,Alif Uthuru Buri,Alif Alif (AA),9,1284,9,Administrative Islands,Resident Population,0,52482,4.66893639494926,admin3,0.023050795710414837
