Timestamp,max_temp_degC,min_temp_degC,mean_temp_degC,mean_humidity_percent,mean_wind_direction_compass,mean_wind_speed_kts,max_wind_direction_compass,max_wind_speed_kts,rainfall_mm
6/2/1994,31.6,27.4,30.3,71,VRB,5,SE,6,0
6/3/1994,31.6,26.5,30.5,72,VRB,5,SSE,7,0
6/4/1994,32.1,25,28.1,81,VRB,8,N,19,29.4
6/5/1994,30.4,26.1,28.8,79,WSW,12,W,15,0.2
6/6/1994,31.4,28.3,30,75,SW,9,SW,12,0
6/7/1994,31.4,27.2,30.1,78,WSW,6,WSW,8,0
6/8/1994,31.4,28.2,30.3,74,VRB,5,CALM,7,0
6/9/1994,32,27,30.3,74,VRB,5,WNW,8,0
6/10/1994,31.9,28.3,30.7,74,NW,9,NW,12,0
6/11/1994,31.9,27.3,30.5,75,WSW,7,W,11,0
6/12/1994,31.6,28.3,30.1,75,SW,5,SW,11,0
6/13/1994,31.5,26.5,30.2,71,SW,7,SW,12,0
6/14/1994,31.7,26.6,30.1,71,VRB,4,W,7,0
6/15/1994,31.9,25.7,30,70,VRB,3,CALM,7,0
6/16/1994,31.8,27.4,30.5,69,VRB,4,CALM,8,0
6/17/1994,31.9,26.3,30.5,68,VRB,4,CALM,6,0
6/18/1994,32,23.8,30.3,69,SSW,6,SSW,12,6.4
6/19/1994,31.6,21.8,29.5,75,VRB,3,SSE,10,75.5
6/20/1994,30.1,24,27.9,77,VRB,3,SSW,10,0
6/21/1994,31.1,24.2,28.7,76,NNW,6,NNW,18,15.1
6/22/1994,31.2,23.4,29,79,VRB,7,NNW,11,16.2
6/23/1994,31.4,21.3,29.3,78,VRB,5,N,10,33.4
6/24/1994,30.6,22.6,25.8,87,VRB,2,NNE,15,10.8
6/25/1994,31.5,22.7,29.3,75,VRB,5,CALM,6,62.5
6/26/1994,30.8,23.4,28.1,78,CALM,0,CALM,5,43
6/27/1994,30,25.4,27.6,84,WSW,8,NNW,30,2.7
6/28/1994,31.3,27.6,30,72,SSW,8,SSW,15,0
6/29/1994,30.8,25,29.8,73,S,6,S,8,1.6
6/30/1994,29.8,23.7,27.1,85,VRB,6,S,11,6.4
7/1/1994,30.9,24.5,29.7,71,VRB,4,CALM,7,0
7/2/1994,31.4,26,29.7,76,VRB,4,SW,7,0
7/3/1994,31.6,27.2,30.3,73,VRB,4,CALM,6,0
7/4/1994,31.6,27.8,29.7,75,VRB,4,CALM,6,0
7/5/1994,31.8,28.4,30.1,70,VRB,4,WSW,7,0
7/6/1994,32.2,,30.3,66,CALM,0,CALM,3,0
7/7/1994,32,25.8,30.5,68,VRB,2,CALM,4,0
7/8/1994,31.9,27.9,30.5,67,VRB,4,SE,9,0
7/9/1994,32.2,28.4,29.4,74,VRB,6,SW,17,3.2
7/10/1994,30,26.2,28.1,77,SW,8,SW,23,0.1
7/11/1994,30.2,27.2,28.9,79,VRB,3,SW,6,12.7
7/12/1994,30.3,25.5,27.6,80,SW,9,SW,18,0
7/13/1994,31.6,24.4,29.7,72,VRB,5,SW,8,0
7/14/1994,31.2,25,28.9,80,VRB,3,SE,8,4.7
7/15/1994,31.9,25.2,30.3,75,VRB,6,SE,10,4
7/16/1994,32.2,21.4,29.8,73,VRB,4,NNW,38,9.4
7/17/1994,30.8,22.6,28.7,75,VRB,2,N,8,0
7/18/1994,31.8,25.6,29.2,74,CALM,0,CALM,3,0
7/19/1994,32.2,26.5,30.5,71,VRB,3,ESE,8,0
7/20/1994,32.2,23,30.5,72,VRB,5,SE,8,0
7/21/1994,30.9,25.8,29.3,75,VRB,6,S,7,0
7/22/1994,31.4,26.2,30,71,VRB,5,SSE,7,0
7/23/1994,31.6,26.7,30.4,72,SE,7,SE,10,0
7/24/1994,31.4,22.9,28.1,79,SE,8,SSE,11,24.8
7/25/1994,30.2,24.6,28.1,82,VRB,3,SW,7,2.1
7/26/1994,29.2,22.2,26.5,87,VRB,5,NNE,12,39.5
7/27/1994,30.6,25,29.3,75,VRB,6,SSW,10,1.7
7/28/1994,31.6,23.4,29.7,76,SSW,9,SSW,11,0
