country,year,country_iso,disaster_new_displacement,conflict_stock_displacement,conflict_new_displacement,total_displacement,population,disaster_per_100k,conflict_per_100k,total_displacement_100k,conflict_subtotal_displacement
Fiji,2019,FJI,4999,0,0,4999,918465,544.277681,0,544.277681,0
Thailand,2018,THA,4648,0,0,4648,71127802,6.534716,0,6.534716,0
"Korea, ROK",2017,KOR,4333,0,0,4333,0,0,0,0,0
Hong Kong,2017,HKG,3292,0,0,3292,7393200,44.527404,0,44.527404,0
Hong Kong,2018,HKG,1400,0,0,1400,7452600,18.78539,0,18.78539,0
"Korea, ROK",2018,KOR,1084,0,0,1084,0,0,0,0,0
Solomon Islands,2018,SLB,1058,0,0,1058,659249,160.485644,0,160.485644,0
Vanuatu,2019,VUT,1000,0,0,1000,304404,328.510795,0,328.510795,0
Solomon Islands,2017,SLB,575,0,0,575,643634,89.336486,0,89.336486,0
Fiji,2017,FJI,374,0,0,374,919019,40.695568,0,40.695568,0
Samoa,2018,WSM,327,0,0,327,0,0,0,0,0
Maldives,2019,MDV,296,0,0,296,504508,58.671022,0,58.671022,0
Hong Kong,2019,HKG,205,0,0,205,7507900,2.730457,0,2.730457,0
Marshall Islands,2019,MHL,200,0,0,200,0,0,0,0,0
Lao PDR,2017,LAO,188,0,0,188,0,0,0,0,0
Maldives,2017,MDV,76,0,0,76,472442,16.086631,0,16.086631,0
Solomon Islands,2019,SLB,31,0,0,31,674993,4.59264,0,4.59264,0
Maldives,2018,MDV,20,0,0,20,489758,4.083649,0,4.083649,0
Mongolia,2019,MNG,13,0,0,13,3232430,0.402174,0,0.402174,0
