Atoll,island,atoll_official,atoll_official_name,atoll_alternate
Sh,Lhaimagu,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Maaugoodhoo,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Maroshi,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Milandhoo,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Narudhoo,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Sh,Noomaraa,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Th,Buruni,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Dhiyamigili,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Gaadhiffushi,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Guraidhoo,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Hirilandhoo,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Kadoodhoo,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Kibidhoo,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Madifushi,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Omadhoo,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Thimarafushi,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Vandhoo,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Veymandoo,Thaa Atoll,Kolhumadulu Atholhu,Thaa
Th,Vilufushi,Thaa Atoll,Kolhumadulu Atholhu,Thaa
V,Felidhoo,Vaavu Atoll,Felidhe Atholhu,Vaavu
V,Fulidhoo,Vaavu Atoll,Felidhe Atholhu,Vaavu
V,Keyodhoo,Vaavu Atoll,Felidhe Atholhu,Vaavu
V,Rakeedhoo,Vaavu Atoll,Felidhe Atholhu,Vaavu
V,Thinadhoo,Vaavu Atoll,Felidhe Atholhu,Vaavu
